SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MOBILISE,ST,02-03-2026,80.0,64.1,67.3,61.25,67.3,67.3,64.83,"5,55,200","3,59,91,600.00",204,"5,45,600",98.27
MOBILISE,ST,04-03-2026,67.3,63.95,63.95,63.95,63.95,63.95,63.95,8000,5.12,5, 8000,100.0
MOBILISE,ST,05-03-2026,63.95,60.8,60.8,60.8,60.8,60.8,60.8,6400,3.89,4, 6400,100.0
MOBILISE,ST,06-03-2026,60.8,58.1,58.3,57.8,57.8,57.8,58.02,72000,41.77,35, 64000,88.89
MOBILISE,ST,09-03-2026,57.8,54.95,54.95,54.95,54.95,54.95,54.95,3200,1.76,1, 3200,100.0
MOBILISE,ST,10-03-2026,54.95,52.25,57.65,52.25,54.0,54.0,53.59,169600,90.88,71, 155200,91.51
MOBILISE,ST,11-03-2026,54.0,54.8,54.95,51.3,51.3,51.3,52.42,44800,23.49,25, 44800,100.0
MOBILISE,ST,12-03-2026,51.3,51.3,51.3,48.8,49.9,49.9,50.06,22400,11.21,14, 22400,100.0
MOBILISE,ST,13-03-2026,49.9,48.0,52.35,47.45,48.1,48.1,49.27,60800,29.95,30, 51200,84.21
MOBILISE,ST,16-03-2026,48.1,48.1,49.0,48.0,48.0,48.0,48.14,14400,6.93,8, 12800,88.89
MOBILISE,SM,17-03-2026,48.0,48.0,48.2,48.0,48.0,48.05,48.08,16000,7.69,7, 14400,90.0
MOBILISE,SM,18-03-2026,48.05,48.0,48.0,46.25,46.25,46.25,47.68,19200,9.15,12, 19200,100.0
MOBILISE,SM,19-03-2026,46.25,45.0,46.0,45.0,45.0,45.0,45.52,20800,9.47,11, 20800,100.0
MOBILISE,SM,20-03-2026,45.0,45.3,54.0,45.3,54.0,54.0,51.96,107200,55.7,53, 88000,82.09
MOBILISE,SM,23-03-2026,54.0,55.0,59.45,52.5,59.0,58.5,57.02,56000,31.93,29, 40000,71.43
MOBILISE,SM,24-03-2026,58.5,60.0,64.8,60.0,61.5,61.5,62.42,78400,48.94,40, 75200,95.92
MOBILISE,SM,25-03-2026,61.5,63.0,65.45,63.0,64.0,64.75,64.48,72000,46.42,39, 68800,95.56
MOBILISE,SM,27-03-2026,64.75,66.35,66.35,58.3,59.0,58.65,63.65,56000,35.65,19, 54400,97.14
MOBILISE,SM,30-03-2026,58.65,57.0,57.0,52.8,52.85,52.85,54.64,14400,7.87,9, 14400,100.0
MOBILISE,SM,01-04-2026,52.85,55.2,55.2,55.2,55.2,55.2,55.2,1600,0.88,1, 1600,100.0
MOBILISE,SM,02-04-2026,55.2,54.85,54.85,54.85,54.85,54.85,54.85,1600,0.88,1, 1600,100.0
MOBILISE,SM,06-04-2026,54.85,55.0,58.0,55.0,58.0,58.0,57.0,8000,4.56,5, 8000,100.0
MOBILISE,SM,07-04-2026,58.0,60.0,63.25,60.0,62.0,62.0,61.39,24000,14.73,11, 24000,100.0
MOBILISE,SM,08-04-2026,62.0,64.8,66.9,61.9,66.9,65.65,64.39,51200,32.97,29, 48000,93.75
MOBILISE,SM,09-04-2026,65.65,65.0,72.2,63.0,72.2,69.6,67.6,70400,47.59,37, 70400,100.0
MOBILISE,SM,10-04-2026,69.6,69.6,71.8,68.2,68.4,69.45,69.7,36800,25.65,16, 36800,100.0
MOBILISE,SM,13-04-2026,69.45,67.1,72.0,67.1,71.0,71.0,70.6,28800,20.33,15, 27200,94.44
MOBILISE,SM,15-04-2026,71.0,73.0,78.1,73.0,78.1,78.1,76.96,81600,62.8,39, 80000,98.04
MOBILISE,SM,16-04-2026,78.1,79.0,80.3,72.0,80.3,79.3,75.24,528000,397.26,187, 340800,64.55
MOBILISE,SM,17-04-2026,79.3,79.3,81.0,78.0,81.0,80.2,79.94,62400,49.88,32, 56000,89.74
MOBILISE,SM,20-04-2026,80.2,81.8,81.8,78.5,80.0,80.15,79.74,35200,28.07,21, 35200,100.0
MOBILISE,SM,21-04-2026,80.15,82.0,84.75,80.0,83.0,83.55,80.95,230400,186.52,91, 147200,63.89
MOBILISE,SM,22-04-2026,83.55,83.6,85.0,81.0,81.0,81.65,82.76,32000,26.48,19, 25600,80.0
MOBILISE,SM,23-04-2026,81.65,83.0,89.75,83.0,89.0,87.75,86.59,126400,109.45,66, 120000,94.94
MOBILISE,SM,24-04-2026,87.75,90.0,92.1,88.0,88.4,89.0,90.79,104000,94.42,52, 80000, 76.92
