SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NEXT50ADD,EQ,09-01-2026,70.64,69.4,69.51,68.3,68.68,68.53,68.86,"10,876","7,48,946.08",139,"9,175",84.36
NEXT50ADD,EQ,12-01-2026,68.53,68.63,68.71,67.62,68.65,68.68,68.18,3126,2.13,74, 1805,57.74
NEXT50ADD,EQ,13-01-2026,68.68,68.65,68.69,68.3,68.63,68.61,68.54,2287,1.57,23, 1165,50.94
NEXT50ADD,EQ,14-01-2026,68.61,68.64,69.04,68.42,68.67,68.67,68.71,1325,0.91,47, 975,73.58
NEXT50ADD,EQ,16-01-2026,68.67,69.01,69.2,68.67,69.2,68.96,68.9,1891,1.3,35, 1360,71.92
NEXT50ADD,EQ,19-01-2026,68.96,69.16,69.16,68.5,68.75,68.74,68.81,4387,3.02,35, 3642,83.02
NEXT50ADD,EQ,20-01-2026,68.74,68.45,68.45,67.04,67.04,67.34,67.58,2198,1.49,58, 1485,67.56
NEXT50ADD,EQ,21-01-2026,67.34,67.1,67.24,66.1,66.99,66.99,66.82,3426,2.29,46, 1851,54.03
NEXT50ADD,EQ,22-01-2026,66.99,67.56,67.56,67.3,67.4,67.4,67.36,243,0.16,14, 142,58.44
NEXT50ADD,EQ,23-01-2026,67.4,67.43,67.71,66.18,66.54,66.35,67.07,1614,1.08,42, 1330,82.4
NEXT50ADD,EQ,27-01-2026,66.35,66.35,66.75,66.07,66.46,66.45,66.38,9364,6.22,35, 4935,52.7
NEXT50ADD,EQ,28-01-2026,66.45,67.02,68.32,66.95,68.32,68.24,67.42,6656,4.49,31, 3562,53.52
NEXT50ADD,EQ,29-01-2026,68.24,68.24,68.43,67.71,68.19,68.19,68.1,2995,2.04,32, 1905,63.61
NEXT50ADD,EQ,30-01-2026,68.19,67.97,68.12,67.0,67.0,67.12,67.84,758,0.51,17, 593,78.23
NEXT50ADD,EQ,01-02-2026,67.12,68.34,81.0,65.7,79.0,75.19,71.15,5887,4.19,73, 3198,54.32
NEXT50ADD,EQ,02-02-2026,75.19,70.7,70.7,65.53,67.2,67.2,66.33,14860,9.86,208, 5646,37.99
