SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RELCNX100,EQ,28-05-2013,55.5,59.38,59.38,59.38,59.38,59.38,59.38,10,593.80,1,-,-
RELCNX100,EQ,29-05-2013,59.38,59.0,59.2,59.0,59.2,59.2,59.1,2,118.20,2,-,-
RELCNX100,EQ,04-12-2013,61.26,60.5,62.5,60.5,62.45,62.45,61.49,600,"36,895.00",5,-,-
RELCNX100,EQ,09-01-2014,60.37,63.0,63.0,60.1,60.1,60.1,61.55,50,"3,077.50",2,-,-
RELCNX100,EQ,18-02-2014,59.5,58.25,59.85,58.25,59.85,59.05,59.05,"4,000","2,36,200.00",2,-,-
RELCNX100,EQ,20-02-2014,59.05,59.4,60.0,58.6,58.6,58.6,59.5,"20,100","11,95,900.00",6,-,-
RELCNX100,EQ,09-09-2014,81.95,81.95,81.95,81.95,81.95,81.95,81.95,124,"10,161.80",1,-,-
RELCNX100,EQ,17-09-2014,82.5,81.5,86.99,81.15,86.99,86.99,83.0,"4,003","3,32,253.14",5,-,-
RELCNX100,EQ,19-09-2014,86.99,84.9,87.0,83.6,84.0,84.0,85.51,"20,115","17,19,979.00",16,-,-
RELCNX100,EQ,23-09-2014,86.0,83.0,84.0,83.0,84.0,84.0,83.5,"1,400","1,16,900.00",2,-,-
RELCNX100,EQ,29-09-2015,85.0,80.35,80.55,80.35,80.55,80.55,80.45,200,"16,090.00",4,-,-
RELCNX100,EQ,21-02-2017,92.83,93.12,93.86,93.12,93.86,93.86,93.49,2,186.98,2,-,-
