SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NIMBSPROJ,EQ,06-04-2026,189.55,196.0,199.02,193.0,199.02,198.98,197.48,"2,67,713","5,28,68,220.22",213,"56,768",21.2
NIMBSPROJ,EQ,07-04-2026,198.98,199.02,208.6,191.27,208.6,196.88,199.63,172395,344.14,473, 7774,4.51
NIMBSPROJ,EQ,08-04-2026,196.88,194.8,204.41,193.71,200.4,199.77,201.33,253693,510.75,439, 10890,4.29
NIMBSPROJ,EQ,09-04-2026,199.77,202.76,204.79,181.15,182.5,188.74,197.15,195903,386.22,1280, 4360,2.23
NIMBSPROJ,EQ,10-04-2026,188.74,188.0,205.0,184.0,201.95,198.81,197.64,360245,711.98,9795, 24363,6.76
NIMBSPROJ,EQ,13-04-2026,198.81,201.95,201.95,189.07,192.0,192.24,192.58,291810,561.97,3946, 13481,4.62
NIMBSPROJ,EQ,15-04-2026,192.24,192.24,202.26,192.24,197.75,196.8,197.54,273248,539.77,795, 17295,6.33
NIMBSPROJ,EQ,16-04-2026,196.8,196.25,208.8,192.2,193.86,198.09,200.73,281119,564.29,1803, 26120,9.29
NIMBSPROJ,EQ,17-04-2026,198.09,204.95,204.95,194.5,197.49,195.73,197.35,269082,531.02,1630, 17651,6.56
NIMBSPROJ,EQ,20-04-2026,195.73,195.41,199.7,189.01,190.1,191.82,196.09,261548,512.87,777, 18616,7.12
NIMBSPROJ,EQ,21-04-2026,191.82,181.99,202.02,181.99,202.02,190.47,191.85,277549,532.47,1113, 18636,6.71
NIMBSPROJ,EQ,22-04-2026,190.47,193.02,199.0,190.7,195.65,193.2,192.94,217213,419.1,760, 17421,8.02
NIMBSPROJ,EQ,23-04-2026,193.2,194.33,198.3,191.45,197.99,194.04,196.46,216218,424.79,714, 18525,8.57
NIMBSPROJ,EQ,24-04-2026,194.04,199.0,199.0,189.5,195.1,193.15,192.1,172225,330.85,1880, 9418,5.47
NIMBSPROJ,EQ,27-04-2026,193.15,189.99,197.78,188.3,194.7,193.14,193.7,283253,548.65,1771, 22128,7.81
NIMBSPROJ,EQ,28-04-2026,193.14,192.9,197.01,173.83,184.76,181.85,187.53,234627,440.0,1431, 24815, 10.58
