SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NITTAGELA,EQ,20-04-2026,857.7,857.7,868.0,837.05,863.0,863.2,855.08,993,"8,49,094.35",82,821,82.68
NITTAGELA,EQ,21-04-2026,863.2,847.05,890.05,847.05,864.0,866.7,881.0,2907,25.61,186,2391,82.25
NITTAGELA,EQ,22-04-2026,866.7,865.05,883.5,852.65,880.0,879.6,874.18,1068,9.34,127,906,84.83
NITTAGELA,EQ,23-04-2026,879.6,884.0,925.6,882.0,920.0,922.65,912.7,8338,76.1,725,6553,78.59
NITTAGELA,EQ,24-04-2026,922.65,922.65,935.05,901.0,930.0,925.45,919.97,3765,34.64,384,2540,67.46
NITTAGELA,EQ,27-04-2026,925.45,927.0,943.45,927.0,942.95,938.8,934.98,4908,45.89,344,3868,78.81
NITTAGELA,EQ,28-04-2026,938.8,923.0,986.0,923.0,970.8,971.75,964.26,10857,104.69,836,8573,78.96
NITTAGELA,EQ,29-04-2026,971.75,999.0,999.0,955.0,955.0,965.3,974.15,2945,28.69,480,1954,66.35
NITTAGELA,EQ,30-04-2026,965.3,985.0,985.0,938.0,971.1,981.5,974.79,8343,81.33,421,7218,86.52
NITTAGELA,EQ,04-05-2026,981.5,1140.0,1174.0,1101.0,1130.0,1128.3,1139.25,57843,658.97,4131, 28727, 49.66
