SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GOLDTELE,EQ,16-04-2002,28.7,28.95,31.9,28.5,29.0,28.9,30.09,"80,482","24,21,433.75",-,-,-
GOLDTELE,EQ,24-04-2002,26.95,26.0,26.95,25.9,26.0,26.25,26.29,"46,056","12,10,615.30",-,-,-
GOLDTELE,EQ,30-04-2002,24.8,25.9,25.9,24.65,25.0,24.9,25.03,"13,035","3,26,264.25",-,-,-
GOLDTELE,EQ,29-05-2002,18.05,18.9,19.15,18.25,18.8,18.8,18.74,"15,305","2,86,767.50",-,-,-
GOLDTELE,EQ,30-05-2002,18.8,19.0,19.25,18.0,18.35,18.25,18.63,"9,637","1,79,518.90",-,-,-
GOLDTELE,EQ,31-05-2002,18.25,19.0,19.1,17.55,18.0,18.25,18.13,"7,925","1,43,648.25",-,-,-
GOLDTELE,EQ,27-09-2002,14.75,15.55,15.55,14.7,14.75,14.8,14.85,"4,620","68,617.50",-,-,-
GOLDTELE,EQ,01-11-2002,11.0,11.05,11.45,11.0,11.1,11.1,11.07,"5,265","58,286.05",-,-,-
GOLDTELE,EQ,25-10-2003,5.95,6.75,6.8,6.3,6.75,6.6,6.56,"31,738","2,08,319.25",-,-,-
GOLDINFRA,EQ,18-06-2012,10.6,10.3,11.0,10.3,11.0,11.0,10.66,4,42.65,4,-,-
OLECTRA,BL,07-09-2021,29.4,321.0,321.0,321.0,321.0,321.0,321.0,"28,20,000","90,52,20,000.00",1,-,-
OLECTRA,EQ,14-08-2025,1477.9,1479.2,1496.7,1451.5,1467.1,1468.8,1469.86,364745,5361.25,22350, 115568, 31.68
OLECTRA,EQ,13-08-2025,1432.6,1439.8,1515.5,1436.3,1481.0,1477.9,1482.02,1342578,19897.26,64453, 308747, 23.00
