SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
OMNI,EQ,05-03-2026,227.0,202.0,224.7,202.0,203.3,204.93,212.46,"66,45,675","1,41,19,56,629.72","48,996","25,25,662",38.0
OMNI,EQ,06-03-2026,204.93,206.0,207.83,185.0,186.8,190.14,199.76,1796633,3589.04,33809, 663683,36.94
OMNI,EQ,09-03-2026,190.14,188.0,194.0,176.25,192.2,190.61,183.7,1253240,2302.22,14613, 319882,25.52
OMNI,EQ,10-03-2026,190.61,192.2,197.0,188.71,190.99,192.94,192.61,385866,743.23,4826, 117399,30.42
OMNI,EQ,11-03-2026,192.94,190.0,213.14,190.0,207.01,208.95,205.69,1428730,2938.7,16659, 434728,30.43
OMNI,EQ,12-03-2026,208.95,215.8,224.4,210.01,220.0,220.35,217.23,2378637,5167.03,27627, 387411,16.29
OMNI,EQ,13-03-2026,220.35,220.68,223.75,210.56,217.0,218.54,217.23,796573,1730.42,11756, 198119,24.87
OMNI,EQ,16-03-2026,218.54,225.0,230.0,211.87,216.0,218.68,219.89,952382,2094.19,12782, 170636,17.92
OMNI,EQ,17-03-2026,218.68,219.67,220.38,214.0,217.21,218.32,217.65,319282,694.93,5835, 86511,27.1
OMNI,EQ,18-03-2026,218.32,220.5,247.28,220.5,242.39,241.75,237.38,3588889,8519.29,45299, 1097379,30.58
OMNI,EQ,19-03-2026,241.75,235.0,250.21,231.11,242.25,240.67,242.7,1679127,4075.25,24725, 471576,28.08
OMNI,EQ,20-03-2026,240.67,243.98,252.0,240.0,241.5,243.99,245.65,684033,1680.31,11386, 183635,26.85
OMNI,EQ,23-03-2026,243.99,239.1,239.1,213.3,222.0,222.84,227.19,885923,2012.75,14997, 260972,29.46
OMNI,EQ,24-03-2026,222.84,230.0,240.0,219.01,235.0,235.94,230.41,623574,1436.75,9627, 182383,29.25
OMNI,EQ,25-03-2026,235.94,238.99,246.5,228.0,236.4,233.59,239.63,428993,1028.01,10197, 122627,28.58
OMNI,EQ,27-03-2026,233.59,229.99,253.9,228.91,245.2,246.85,245.83,1413414,3474.65,22737, 424899,30.06
OMNI,EQ,30-03-2026,246.85,241.9,256.5,236.61,246.8,245.23,247.04,866416,2140.35,21626, 284408,32.83
OMNI,EQ,01-04-2026,245.23,256.19,277.86,252.15,271.0,272.77,267.61,1497885,4008.49,25162, 306122,20.44
OMNI,EQ,02-04-2026,272.77,269.89,310.14,262.0,281.0,278.55,288.9,5547459,16026.51,73160, 606757,10.94
OMNI,EQ,06-04-2026,278.55,284.08,300.0,276.01,287.27,290.81,285.87,1444509,4129.37,17431, 383517,26.55
OMNI,EQ,07-04-2026,290.81,290.82,299.18,281.03,281.5,285.43,289.67,619045,1793.2,12194, 178186,28.78
OMNI,EQ,08-04-2026,285.43,297.8,342.51,292.11,342.51,329.72,316.84,2988937,9470.07,38227, 635785,21.27
OMNI,EQ,09-04-2026,329.72,335.0,349.85,320.7,338.98,340.25,337.57,3072966,10373.35,63669, 451770,14.7
OMNI,EQ,10-04-2026,340.25,348.4,358.8,339.69,344.41,347.15,348.83,1111949,3878.8,20211, 218648,19.66
OMNI,EQ,13-04-2026,347.15,341.9,358.35,334.5,354.0,354.98,352.32,728373,2566.18,13518, 189667,26.04
OMNI,EQ,15-04-2026,354.98,366.98,373.89,341.11,347.5,344.95,357.23,1067368,3813.01,18500, 380670,35.66
OMNI,EQ,16-04-2026,344.95,345.9,354.0,339.0,344.0,344.48,347.39,692462,2405.53,12752, 255116,36.84
OMNI,EQ,17-04-2026,344.48,347.15,347.9,331.25,335.0,333.93,338.53,521291,1764.73,10503, 252410,48.42
OMNI,EQ,20-04-2026,333.93,339.99,360.95,327.91,342.71,343.85,349.95,1011818,3540.85,17056, 410140,40.53
OMNI,EQ,21-04-2026,343.85,343.86,365.0,340.6,344.65,344.6,351.83,922046,3244.01,14701, 327746,35.55
OMNI,EQ,22-04-2026,344.6,348.47,381.9,346.0,378.0,373.48,363.25,921932,3348.94,14274, 336513,36.5
OMNI,EQ,23-04-2026,373.48,381.9,410.0,375.3,405.0,404.55,392.89,1001101,3933.25,17380, 249966, 24.97
