SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PML,EQ,20-04-2026,581.55,645.0,645.0,599.0,624.6,607.0,618.37,47,"29,063.20",20,20,42.55
PML,EQ,21-04-2026,607.0,607.0,622.8,599.45,622.0,622.1,613.03,56,0.34,7,53,94.64
PML,EQ,22-04-2026,622.1,577.05,611.0,576.0,610.0,601.6,587.87,48,0.28,14,32,66.67
PML,EQ,23-04-2026,601.6,594.95,624.0,594.95,619.0,615.4,610.44,317,1.94,48,287,90.54
PML,EQ,24-04-2026,615.4,599.95,609.0,578.05,609.0,583.3,580.62,199,1.16,26,157,78.89
PML,EQ,27-04-2026,583.3,590.05,610.0,558.0,604.9,576.05,580.78,447,2.6,75,327,73.15
PML,EQ,28-04-2026,576.05,604.8,604.85,560.05,575.0,574.8,571.52,374,2.14,48,338,90.37
PML,EQ,29-04-2026,574.8,586.15,599.05,570.35,579.0,572.75,586.66,142,0.83,27,88,61.97
PML,EQ,30-04-2026,572.75,564.05,596.75,550.0,555.05,556.45,560.24,459,2.57,69,390,84.97
PML,EQ,04-05-2026,556.45,553.7,579.95,553.7,577.4,577.4,566.76,95,0.54,21,74,77.89
PML,EQ,06-05-2026,565.9,576.0,585.05,575.0,579.8,580.55,581.34,584,3.4,37,552,94.52
PML,EQ,05-05-2026,577.4,578.0,580.0,557.5,580.0,565.9,563.14,87,0.49,11, 54, 62.07
