SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PNGSREVA,EQ,04-03-2026,386.0,375.0,433.0,360.0,399.1,411.7,390.66,"47,98,593","1,87,46,19,670.50","50,207","21,15,136",44.08
PNGSREVA,EQ,05-03-2026,411.7,410.0,413.9,364.0,364.0,369.6,391.94,670626,2628.43,17340, 119608,17.84
PNGSREVA,EQ,06-03-2026,369.6,365.1,402.95,360.8,393.05,394.1,384.79,738711,2842.52,17567, 170589,23.09
PNGSREVA,EQ,09-03-2026,394.1,375.0,400.0,363.2,386.0,386.3,376.26,203958,767.4,6874, 40330,19.77
PNGSREVA,EQ,10-03-2026,386.3,386.3,394.75,375.75,385.55,387.35,387.14,155367,601.49,4585, 39216,25.24
PNGSREVA,EQ,11-03-2026,387.35,385.55,404.05,379.1,390.0,390.15,390.97,248368,971.05,5329, 106733,42.97
PNGSREVA,EQ,12-03-2026,390.15,391.25,399.3,383.4,395.0,392.8,392.05,188212,737.88,5552, 109524,58.19
PNGSREVA,EQ,13-03-2026,392.8,388.95,402.5,374.8,386.0,383.5,388.69,272148,1057.82,7600, 55914,20.55
PNGSREVA,EQ,16-03-2026,383.5,389.25,391.65,361.0,362.0,365.45,373.17,153257,571.91,4166, 72454,47.28
PNGSREVA,EQ,17-03-2026,365.45,368.6,375.0,361.65,367.0,366.15,367.64,153734,565.18,4849, 87965,57.22
PNGSREVA,EQ,18-03-2026,366.15,367.25,376.1,365.0,366.0,371.65,372.1,292256,1087.49,5493, 232541,79.57
PNGSREVA,EQ,19-03-2026,371.65,365.0,371.45,362.05,367.45,365.4,366.98,42020,154.2,2822, 15895,37.83
PNGSREVA,EQ,20-03-2026,365.4,366.0,373.0,363.45,367.9,368.3,367.68,45898,168.76,1472, 33309,72.57
PNGSREVA,EQ,23-03-2026,368.3,363.0,368.2,331.0,338.0,341.15,344.59,87264,300.7,4003, 41506,47.56
PNGSREVA,EQ,24-03-2026,341.15,350.0,369.9,345.05,366.0,361.55,354.8,37476,132.97,1673, 18944,50.55
PNGSREVA,EQ,25-03-2026,361.55,361.55,377.7,355.05,355.05,363.05,368.81,44877,165.51,2355, 17150, 38.22
