SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
POLARIND,EQ,01-01-1996,90.00,88.75,89.25,88.0,-,88.55,88.53,750,"66,397.50",-,-,-
POLARIND,EQ,02-01-1996,88.55,87.25,90.0,87.25,-,89.0,89.4,850,"75,987.50",-,-,-
POLARIND,EQ,04-01-1996,89.00,88.0,88.0,88.0,-,88.0,88.0,400,"35,200.00",-,-,-
POLARIND,EQ,05-01-1996,88.00,89.5,89.5,88.0,-,88.25,88.58,150,"13,287.50",-,-,-
POLARIND,EQ,08-01-1996,88.25,88.75,90.0,88.75,-,90.0,89.1,250,"22,275.00",-,-,-
POLARIND,EQ,09-01-1996,90.00,88.05,89.0,88.0,-,89.0,88.3,950,"83,882.50",-,-,-
POLARIND,EQ,10-01-1996,89.00,90.5,90.5,90.5,-,90.5,90.5,500,"45,250.00",-,-,-
POLARIND,EQ,11-01-1996,90.50,90.25,90.25,90.0,-,90.0,90.15,550,"49,582.50",-,-,-
POLARIND,EQ,12-01-1996,90.00,91.0,91.0,91.0,-,91.0,91.0,50,"4,550.00",-,-,-
POLARIND,EQ,16-01-1996,91.00,90.0,90.75,90.0,-,90.75,90.5,150,"13,575.00",-,-,-
POLARIND,EQ,17-01-1996,90.75,90.25,90.25,90.25,-,90.25,90.25,200,"18,050.00",-,-,-
POLARIND,EQ,18-01-1996,90.25,90.0,90.0,89.25,-,90.0,89.44,"2,700","2,41,500.00",-,-,-
POLARIND,EQ,19-01-1996,90.00,98.0,98.0,90.05,-,90.15,96.68,"2,400","2,32,040.00",-,-,-
POLARIND,EQ,22-01-1996,90.15,90.6,91.0,90.6,-,90.7,90.65,400,"36,260.00",-,-,-
POLARIND,EQ,23-01-1996,90.70,90.0,91.0,90.0,-,90.5,90.8,"1,900","1,72,525.00",-,-,-
POLARIND,EQ,24-01-1996,90.50,90.5,92.0,90.0,-,92.0,90.73,"1,000","90,730.00",-,-,-
POLARIND,EQ,25-01-1996,92.00,90.0,90.0,90.0,-,90.0,90.0,50,"4,500.00",-,-,-
POLARIND,EQ,29-01-1996,90.00,90.0,90.0,90.0,-,90.0,90.0,100,"9,000.00",-,-,-
POLARIND,EQ,30-01-1996,90.00,92.0,92.0,90.0,-,90.0,91.0,400,"36,400.00",-,-,-
POLARIND,EQ,31-01-1996,90.00,92.0,92.0,91.0,-,91.0,91.5,400,"36,600.00",-,-,-
POLARIND,EQ,01-02-1996,91.00,91.0,91.0,90.5,-,90.5,90.75,"1,000","90,750.00",-,-,-
POLARIND,EQ,05-02-1996,90.50,91.0,92.0,90.5,-,92.0,90.87,"1,500","1,36,300.00",-,-,-
POLARIND,EQ,06-02-1996,92.00,93.0,93.0,93.0,-,93.0,93.0,400,"37,200.00",-,-,-
POLARIND,EQ,07-02-1996,93.00,91.5,91.5,91.5,-,91.5,91.5,600,"54,900.00",-,-,-
POLARIND,EQ,08-02-1996,91.50,91.25,93.0,91.25,-,92.5,91.96,350,"32,187.50",-,-,-
POLARIND,EQ,09-02-1996,92.50,91.5,91.5,91.5,-,91.5,91.5,100,"9,150.00",-,-,-
POLARIND,EQ,12-02-1996,91.50,91.5,91.5,91.5,-,91.5,91.5,50,"4,575.00",-,-,-
POLARIND,EQ,13-02-1996,91.50,91.0,91.5,91.0,-,91.5,91.33,300,"27,400.00",-,-,-
POLARIND,EQ,14-02-1996,91.50,90.0,94.0,90.0,-,91.0,91.71,350,"32,100.00",-,-,-
POLARIND,EQ,15-02-1996,91.00,93.5,94.0,90.0,-,90.0,93.14,350,"32,600.00",-,-,-
POLARIND,EQ,16-02-1996,90.00,91.0,91.1,91.0,-,91.0,91.01,"1,050","95,560.00",-,-,-
POLARIND,EQ,19-02-1996,91.00,90.0,90.0,90.0,-,90.0,90.0,100,"9,000.00",-,-,-
POLARIND,EQ,20-02-1996,90.00,90.5,91.5,90.5,-,90.5,90.79,350,"31,775.00",-,-,-
POLARIND,EQ,22-02-1996,90.50,90.0,91.0,90.0,-,91.0,90.13,800,"72,100.00",-,-,-
POLARIND,EQ,23-02-1996,91.00,91.0,91.0,90.0,-,91.0,90.58,600,"54,350.00",-,-,-
POLARIND,EQ,26-02-1996,91.00,90.0,91.0,90.0,-,91.0,90.72,"1,450","1,31,550.00",-,-,-
POLARIND,EQ,27-02-1996,91.00,89.0,91.0,89.0,-,91.0,90.11,"1,000","90,105.00",-,-,-
POLARIND,EQ,28-02-1996,91.00,91.0,92.0,90.0,-,91.05,91.44,650,"59,435.00",-,-,-
POLARIND,EQ,29-02-1996,91.05,90.0,90.05,90.0,-,90.0,90.01,300,"27,002.50",-,-,-
POLARIND,EQ,01-03-1996,90.00,92.0,92.0,90.0,-,90.0,91.44,450,"41,150.00",-,-,-
POLARIND,EQ,04-03-1996,90.00,90.0,90.0,90.0,-,90.0,90.0,600,"54,000.00",-,-,-
POLARIND,EQ,07-03-1996,90.00,90.0,90.25,90.0,-,90.25,90.1,250,"22,525.00",-,-,-
POLARIND,EQ,08-03-1996,90.25,91.0,92.5,91.0,-,92.5,91.9,250,"22,975.00",-,-,-
POLARIND,EQ,11-03-1996,92.50,90.0,90.0,90.0,-,90.0,90.0,100,"9,000.00",-,-,-
POLARIND,EQ,12-03-1996,90.00,90.6,92.5,90.6,-,90.6,91.0,500,"45,500.00",-,-,-
POLARIND,EQ,13-03-1996,90.60,90.0,92.45,90.0,-,92.45,91.23,400,"36,490.00",-,-,-
POLARIND,EQ,14-03-1996,92.45,93.0,93.0,92.0,-,92.0,92.56,400,"37,025.00",-,-,-
POLARIND,EQ,15-03-1996,92.00,92.0,91.0,90.25,-,90.25,90.7,550,"49,887.50",-,-,-
POLARIND,EQ,18-03-1996,90.25,90.25,91.0,90.0,-,91.0,90.75,"1,000","90,750.00",-,-,-
POLARIND,EQ,19-03-1996,91.00,91.0,91.0,90.0,-,90.0,90.33,150,"13,550.00",-,-,-
POLARIND,EQ,21-03-1996,90.00,92.0,92.0,92.0,-,92.0,92.0,200,"18,400.00",-,-,-
POLARIND,EQ,22-03-1996,92.00,92.0,92.0,92.0,-,92.0,92.0,300,"27,600.00",-,-,-
POLARIND,EQ,25-03-1996,92.00,89.9,92.0,89.9,-,92.0,90.47,400,"36,187.50",-,-,-
POLARIND,EQ,26-03-1996,92.00,92.0,92.1,92.0,-,92.0,92.03,700,"64,420.00",-,-,-
POLARIND,EQ,27-03-1996,92.00,88.0,88.0,88.0,-,88.0,88.0,50,"4,400.00",-,-,-
POLARIND,EQ,29-03-1996,88.00,88.0,95.0,89.5,-,90.0,90.8,250,"22,700.00",-,-,-
POLARIND,EQ,01-04-1996,90.00,98.0,98.0,91.0,-,91.0,92.75,200,"18,550.00",-,-,-
POLARIND,EQ,02-04-1996,91.00,91.0,93.0,91.05,-,91.05,92.11,250,"23,027.50",-,-,-
POLARIND,EQ,03-04-1996,91.05,91.0,92.5,91.0,-,91.6,91.91,700,"64,340.00",-,-,-
POLARIND,EQ,04-04-1996,91.60,92.0,93.0,92.0,-,92.55,92.51,800,"74,005.00",-,-,-
POLARIND,EQ,08-04-1996,92.55,92.75,94.0,92.75,-,93.25,93.31,450,"41,987.50",-,-,-
POLARIND,EQ,09-04-1996,93.25,93.25,93.5,92.0,-,93.0,92.89,"1,000","92,885.00",-,-,-
POLARIND,EQ,10-04-1996,93.00,92.0,93.0,91.75,-,92.05,92.21,900,"82,992.50",-,-,-
POLARIND,EQ,11-04-1996,92.05,92.05,93.0,91.75,-,91.75,92.0,250,"23,000.00",-,-,-
POLARIND,EQ,12-04-1996,91.75,90.5,93.0,90.5,-,92.55,92.36,"1,250","1,15,450.00",-,-,-
POLARIND,EQ,15-04-1996,92.55,92.55,92.55,92.55,-,92.55,92.55,50,"4,627.50",-,-,-
POLARIND,EQ,16-04-1996,92.55,92.55,93.0,91.0,-,91.75,92.12,"1,450","1,33,577.50",-,-,-
POLARIND,EQ,17-04-1996,91.75,93.5,93.5,93.5,-,93.5,93.5,100,"9,350.00",-,-,-
POLARIND,EQ,18-04-1996,93.50,93.5,93.5,87.0,-,93.1,92.75,900,"83,475.00",-,-,-
POLARIND,EQ,19-04-1996,93.10,93.1,90.0,88.0,-,90.0,89.0,100,"8,900.00",-,-,-
POLARIND,EQ,22-04-1996,90.00,91.5,94.0,90.25,-,93.5,93.03,"1,400","1,30,245.00",-,-,-
POLARIND,EQ,23-04-1996,93.50,92.25,93.5,92.25,-,93.5,93.38,500,"46,687.50",-,-,-
POLARIND,EQ,24-04-1996,93.50,93.05,93.15,93.05,-,93.15,93.11,200,"18,622.50",-,-,-
POLARIND,EQ,25-04-1996,93.15,93.0,93.35,93.0,-,93.35,93.26,200,"18,652.50",-,-,-
POLARIND,EQ,26-04-1996,93.35,92.0,93.25,92.0,-,92.0,92.32,550,"50,775.00",-,-,-
POLARIND,EQ,30-04-1996,92.00,92.0,93.0,92.0,-,92.1,92.59,350,"32,405.00",-,-,-
POLARIND,EQ,01-05-1996,92.10,92.1,92.15,92.0,-,92.15,92.1,150,"13,815.00",-,-,-
POLARIND,EQ,02-05-1996,92.15,92.15,92.3,92.3,-,92.3,92.3,50,"4,615.00",-,-,-
POLARIND,EQ,03-05-1996,92.30,92.5,93.5,92.5,-,92.5,92.83,300,"27,850.00",-,-,-
POLARIND,EQ,06-05-1996,92.50,92.0,92.0,91.15,-,91.15,91.32,250,"22,830.00",-,-,-
POLARIND,EQ,07-05-1996,91.15,91.15,91.0,91.0,-,91.0,91.0,150,"13,650.00",-,-,-
POLARIND,EQ,08-05-1996,91.00,83.0,90.0,83.0,-,90.0,87.67,150,"13,150.00",-,-,-
POLARIND,EQ,09-05-1996,90.00,90.0,91.0,88.0,-,91.0,90.0,250,"22,500.00",-,-,-
POLARIND,EQ,10-05-1996,91.00,89.95,92.0,89.95,-,91.0,91.28,700,"63,895.00",-,-,-
POLARIND,EQ,14-05-1996,91.00,92.0,92.0,90.5,-,90.5,91.25,100,"9,125.00",-,-,-
