SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
POWERICA,EQ,02-04-2026,395.0,366.0,397.0,365.1,385.0,390.0,381.99,"42,26,926","1,61,46,29,251.45","70,970","22,05,944",52.19
POWERICA,EQ,06-04-2026,390.0,390.0,399.0,387.95,397.0,396.55,394.93,533846,2108.34,13585, 287620,53.88
POWERICA,EQ,07-04-2026,396.55,399.0,399.0,384.85,395.0,395.0,393.1,293879,1155.25,8139, 143639,48.88
POWERICA,EQ,08-04-2026,395.0,400.0,406.05,393.55,403.0,404.1,401.26,883674,3545.83,19607, 637678,72.16
POWERICA,EQ,09-04-2026,404.1,396.0,409.75,394.8,400.0,396.25,401.76,256600,1030.91,4655, 114381,44.58
POWERICA,EQ,10-04-2026,396.25,402.25,416.9,399.6,410.0,410.15,409.89,345075,1414.44,5558, 177717,51.5
POWERICA,EQ,13-04-2026,410.15,401.0,412.85,398.55,406.0,406.35,405.4,242097,981.46,7601, 112028,46.27
POWERICA,EQ,15-04-2026,406.35,414.0,424.9,406.6,424.1,421.3,417.73,420708,1757.42,6840, 209028,49.68
POWERICA,EQ,16-04-2026,421.3,424.45,438.0,417.35,428.5,429.65,428.55,740163,3171.97,11823, 357271,48.27
POWERICA,EQ,17-04-2026,429.65,431.8,453.15,428.4,443.95,439.45,439.95,920892,4051.49,47070, 578495,62.82
POWERICA,EQ,20-04-2026,439.45,448.7,459.9,446.0,454.7,455.65,452.29,616867,2790.03,23705, 334232,54.18
POWERICA,EQ,21-04-2026,455.65,460.0,476.35,457.25,467.0,469.45,465.86,635248,2959.39,18449, 324301,51.05
POWERICA,EQ,22-04-2026,469.45,468.0,479.95,452.5,454.9,458.8,467.53,725760,3393.16,19716, 301081,41.48
POWERICA,EQ,23-04-2026,458.8,454.5,462.2,448.1,452.5,453.15,454.11,278672,1265.48,7331, 149208,53.54
POWERICA,EQ,24-04-2026,453.15,455.0,456.15,441.45,450.8,449.45,449.33,257736,1158.09,13059, 171444,66.52
POWERICA,EQ,27-04-2026,449.45,452.8,477.0,447.1,463.0,464.4,463.95,753930,3497.84,21190, 353327,46.86
POWERICA,EQ,28-04-2026,464.4,462.85,489.0,460.45,485.1,483.05,476.88,485014,2312.94,10971, 261080,53.83
POWERICA,EQ,29-04-2026,483.05,492.75,498.0,478.0,491.7,492.6,491.7,565192,2779.07,17595, 348142, 61.60
