SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PREMCO,EQ,20-04-2026,423.05,420.0,425.0,410.0,425.0,420.35,419.38,53,"22,227.20",15,51,96.23
PREMCO,EQ,21-04-2026,420.35,422.45,422.95,414.4,421.05,421.05,418.61,161,0.67,22,129,80.12
PREMCO,EQ,22-04-2026,421.05,421.1,427.7,417.25,419.45,421.15,421.34,356,1.5,52,273,76.69
PREMCO,EQ,23-04-2026,421.15,429.0,435.0,414.2,428.65,428.6,429.75,1436,6.17,112,1059,73.75
PREMCO,EQ,24-04-2026,428.6,436.5,436.5,425.3,427.55,427.55,428.73,323,1.38,31,296,91.64
PREMCO,EQ,27-04-2026,427.55,429.05,429.05,422.15,426.75,426.75,425.85,635,2.7,54,524,82.52
PREMCO,EQ,28-04-2026,426.75,426.75,431.5,421.1,425.0,425.0,427.03,398,1.7,19,392,98.49
PREMCO,EQ,29-04-2026,425.0,425.05,439.95,425.0,427.2,430.95,427.21,662,2.83,27,619,93.5
PREMCO,EQ,30-04-2026,430.95,439.5,439.5,421.65,427.35,431.7,429.49,199,0.85,31,167,83.92
PREMCO,EQ,04-05-2026,431.7,400.0,431.6,400.0,430.7,430.35,422.35,710,3.0,82,572,80.56
PREMCO,EQ,06-05-2026,422.1,422.5,432.1,420.0,425.9,424.4,424.5,526,2.23,35,521,99.05
PREMCO,EQ,05-05-2026,430.35,433.8,433.8,418.0,421.0,422.1,426.23,742,3.16,76, 474, 63.88
