SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
QUINT,EQ,20-04-2026,42.55,43.0,43.0,38.15,42.7,42.7,42.58,216,"9,196.75",9,209,96.76
QUINT,EQ,21-04-2026,42.7,41.85,41.85,37.2,39.15,40.85,39.3,3102,1.22,52,2154,69.44
QUINT,EQ,22-04-2026,40.85,38.2,42.4,33.45,39.25,38.7,36.19,7742,2.8,123,4186,54.07
QUINT,EQ,23-04-2026,38.7,41.9,41.9,38.1,40.05,40.0,41.41,6818,2.82,79,6440,94.46
QUINT,EQ,24-04-2026,40.0,40.2,40.25,38.1,38.1,38.15,38.49,410,0.16,22,330,80.49
QUINT,EQ,27-04-2026,38.15,37.55,41.9,37.55,39.7,38.95,38.08,2382,0.91,51,2317,97.27
QUINT,EQ,28-04-2026,38.95,39.5,41.45,39.5,39.85,39.5,39.52,195,0.08,15,169,86.67
QUINT,EQ,29-04-2026,39.5,40.8,40.8,38.1,39.95,39.75,39.65,1341,0.53,91,1070,79.79
QUINT,EQ,30-04-2026,39.75,44.55,44.55,39.75,41.2,41.1,41.48,3690,1.53,65,2697,73.09
QUINT,EQ,04-05-2026,41.1,47.69,47.69,41.02,42.0,42.0,42.44,6996,2.97,75, 6383, 91.24
