SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
REPL,SM,09-10-2018,40.5,41.05,41.05,41.0,41.00,41.0,41.03,"6,000","2,46,150.00",2,-,-
REPL,SM,11-10-2018,41.05,41.0,41.1,41.0,41.10,41.05,41.05,"6,000","2,46,300.00",2,-,-
REPL,SM,12-10-2018,41.05,41.1,41.1,41.05,41.05,41.05,41.08,"6,000","2,46,450.00",2,-,-
REPL,SM,15-10-2018,41.05,41.05,41.05,41.0,41.00,41.0,41.03,"6,000","2,46,150.00",2,-,-
REPL,SM,19-10-2018,40.95,41.1,41.1,41.05,41.05,41.05,41.08,"6,000","2,46,450.00",2,-,-
REPL,SM,22-10-2018,41.05,41.05,41.05,41.0,41.00,41.0,41.03,"6,000","2,46,150.00",2,-,-
REPL,SM,24-10-2018,41.0,41.0,41.0,41.0,41.00,41.0,41.0,"6,000","2,46,000.00",2,-,-
REPL,SM,12-11-2018,42.5,42.2,42.2,41.9,41.90,42.05,42.05,"6,000","2,52,300.00",2,-,-
REPL,SM,06-02-2019,41.0,42.0,43.05,41.95,42.05,42.05,42.38,"24,000","10,17,150.00",8,-,-
REPL,SM,07-02-2019,42.05,42.25,42.3,40.8,41.05,41.05,41.43,"27,000","11,18,550.00",9,-,-
REPL,SM,21-02-2019,40.95,41.0,41.05,38.8,38.8,38.8,39.86,"27,000","10,76,250.00",9,-,-
REPL,SM,28-02-2019,36.0,36.0,36.6,35.95,36.6,36.6,36.36,"18,000","6,54,450.00",5,-,-
REPL,SM,07-03-2019,37.5,37.5,37.55,37.0,37.05,37.05,37.28,"12,000","4,47,300.00",4,-,-
REPL,SM,12-04-2019,37.15,36.95,36.95,31.05,32.0,32.0,33.33,"9,000","3,00,000.00",3,-,-
REPL,SM,03-05-2019,39.15,32.15,38.4,32.15,38.4,38.4,35.28,"6,000","2,11,650.00",2,-,-
REPL,SM,21-05-2019,35.95,37.7,37.8,37.7,37.8,37.75,37.75,"6,000","2,26,500.00",2,-,-
REPL,SM,29-05-2019,37.75,40.95,40.95,40.8,40.8,40.8,40.88,"6,000","2,45,250.00",2,-,-
REPL,SM,18-06-2019,35.0,40.1,40.1,28.45,35.5,35.5,34.68,"9,000","3,12,150.00",3,-,-
REPL,SM,30-08-2019,28.7,32.55,32.55,23.35,28.55,28.55,28.15,"9,000","2,53,350.00",3,-,-
REPL,SM,17-10-2019,24.85,20.75,29.8,20.75,25.0,25.0,25.18,"9,000","2,26,650.00",3,-,-
REPL,SM,18-10-2019,25.0,28.8,28.8,23.3,25.1,25.1,25.73,"9,000","2,31,600.00",3,-,-
REPL,SM,27-11-2019,30.0,28.1,32.7,28.1,32.7,32.7,30.4,"6,000","1,82,400.00",2,-,-
REPL,SM,26-06-2020,31.75,30.25,30.5,30.25,30.5,30.5,30.38,"6,000","1,82,250.00",2,-,-
