SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RMC,BE,01-04-2026,353.25,370.4,370.9,370.4,370.9,370.9,370.88,"3,000","11,12,637.50",36,-,-
RMC,BE,02-04-2026,370.9,389.4,389.4,371.0,389.0,389.0,383.3,15118,57.95,217, -, -
RMC,BE,06-04-2026,389.0,404.0,404.0,390.0,399.0,399.45,398.01,12056,47.98,249, -, -
RMC,BE,07-04-2026,399.45,403.45,409.0,380.0,401.0,395.6,394.6,8626,34.04,138, -, -
RMC,BE,08-04-2026,395.6,414.7,415.15,400.0,405.0,407.35,409.83,10334,42.35,198, -, -
RMC,BE,09-04-2026,407.35,407.0,407.0,392.2,400.0,401.1,400.29,12075,48.34,186, -, -
RMC,BE,10-04-2026,401.1,411.9,415.0,390.0,410.5,412.2,409.45,10894,44.6,168, -, -
RMC,BE,13-04-2026,412.2,409.7,412.0,392.0,398.0,398.9,397.66,13340,53.05,342, -, -
RMC,BE,15-04-2026,398.9,405.9,418.8,405.9,418.0,418.55,416.42,18876,78.6,211, -, -
RMC,BE,16-04-2026,418.55,434.0,439.45,420.0,431.5,429.95,430.53,12261,52.79,243, -, -
RMC,BE,17-04-2026,429.95,443.0,451.4,439.0,451.4,451.4,446.65,11250,50.25,92, -, -
RMC,BE,20-04-2026,451.4,466.0,473.95,460.0,473.95,473.95,471.84,14344,67.68,153, -, -
RMC,BE,21-04-2026,473.95,489.0,497.6,484.0,497.6,497.6,492.92,15925,78.5,311, -, -
RMC,BE,22-04-2026,497.6,521.0,522.2,500.1,519.0,521.2,516.61,17365,89.71,345, -, -
RMC,BE,23-04-2026,521.2,530.0,530.0,500.0,504.0,504.3,508.92,7407,37.7,281, -, -
RMC,BE,24-04-2026,504.3,504.3,504.3,479.1,479.1,479.1,480.51,11292,54.26,244, -, -
RMC,BE,27-04-2026,479.1,476.0,500.5,457.05,500.5,496.85,486.21,16159,78.57,243, -, -
