SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RRIL,EQ,20-04-2026,15.6,15.85,16.45,15.25,15.3,15.35,15.64,"7,992","1,25,018.85",40,"6,081",76.09
RRIL,EQ,21-04-2026,15.35,15.35,16.5,15.25,15.9,15.95,15.83,25339,4.01,178, 16588,65.46
RRIL,EQ,22-04-2026,15.95,16.6,17.5,16.2,16.3,16.3,16.53,33798,5.59,211, 30884,91.38
RRIL,EQ,23-04-2026,16.3,16.65,16.95,15.7,16.4,16.1,16.22,26727,4.34,123, 23898,89.42
RRIL,EQ,24-04-2026,16.1,16.4,16.6,16.1,16.1,16.15,16.37,35992,5.89,122, 34404,95.59
RRIL,EQ,27-04-2026,16.15,16.45,18.0,16.0,16.6,16.45,16.58,18713,3.1,163, 16322,87.22
RRIL,EQ,28-04-2026,16.45,16.8,17.2,16.5,17.2,17.15,16.79,14254,2.39,63, 8726,61.22
RRIL,EQ,29-04-2026,17.15,17.85,18.5,16.5,17.0,17.0,17.04,54451,9.28,399, 36371,66.8
RRIL,EQ,30-04-2026,17.0,17.35,17.35,16.8,16.85,16.85,17.14,4231,0.72,45, 3176,75.06
RRIL,EQ,04-05-2026,16.85,16.77,17.8,16.55,17.79,17.68,17.36,30716,5.33,223, 28813,93.8
RRIL,EQ,06-05-2026,18.35,18.44,19.4,18.44,19.4,19.22,19.16,23873,4.57,275, 18465,77.35
RRIL,EQ,05-05-2026,17.68,18.45,18.9,17.5,18.81,18.35,18.06,45719,8.26,216, 41597, 90.98
