SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RSL,EQ,19-03-2026,122.0,122.0,122.1,111.16,112.7,113.03,119.44,"1,17,20,153","1,39,98,76,994.79","26,353","95,36,045",81.36
RSL,EQ,20-03-2026,113.03,114.19,119.99,112.39,113.3,114.13,115.43,2516636,2905.02,15956, 757791,30.11
RSL,EQ,23-03-2026,114.13,114.74,115.67,105.62,105.62,108.11,111.18,1276138,1418.78,14954, 322244,25.25
RSL,EQ,24-03-2026,108.11,111.0,112.99,106.99,106.99,108.22,109.88,1107159,1216.58,3308, 894801,80.82
RSL,EQ,25-03-2026,108.22,110.0,111.74,105.0,105.0,106.5,107.36,950608,1020.59,4672, 670105,70.49
RSL,EQ,27-03-2026,106.5,106.0,106.0,102.0,103.0,102.98,103.4,2614014,2702.76,3992, 1532803,58.64
RSL,EQ,30-03-2026,102.98,103.0,106.5,101.7,102.0,102.4,103.84,1482753,1539.62,5170, 584823,39.44
RSL,EQ,01-04-2026,102.4,103.0,111.19,103.0,106.83,108.09,107.35,1048510,1125.55,5189, 437356,41.71
RSL,EQ,02-04-2026,108.09,104.0,121.6,104.0,117.98,119.66,116.01,1634440,1896.15,11551, 339764,20.79
RSL,EQ,06-04-2026,119.66,119.65,125.0,116.21,118.8,118.43,121.23,1694103,2053.78,10870, 740075,43.69
RSL,EQ,07-04-2026,118.43,117.83,124.7,116.48,123.25,122.73,121.19,1598454,1937.1,7145, 1005465,62.9
RSL,EQ,08-04-2026,122.73,125.0,127.0,122.16,123.9,124.66,124.83,1212854,1514.0,7611, 458914,37.84
RSL,EQ,09-04-2026,124.66,125.39,127.82,120.26,123.0,122.81,124.96,965094,1205.96,7370, 520536,53.94
RSL,EQ,10-04-2026,122.81,123.0,128.5,122.5,122.7,123.17,124.82,1322608,1650.81,8265, 599307,45.31
RSL,EQ,13-04-2026,123.17,123.0,130.0,118.0,124.0,123.83,126.4,2144703,2710.93,9765, 951640,44.37
RSL,EQ,15-04-2026,123.83,128.93,132.8,123.53,124.64,124.91,126.88,3611926,4582.97,10629, 1777280,49.21
RSL,EQ,16-04-2026,124.91,125.77,128.46,124.2,126.0,125.88,126.14,473722,597.57,3428, 177107,37.39
RSL,EQ,17-04-2026,125.88,126.0,130.48,124.39,126.0,126.25,127.32,954425,1215.2,5838, 491990,51.55
RSL,EQ,20-04-2026,126.25,129.0,129.39,125.56,128.0,128.31,127.34,715494,911.11,4476, 221233,30.92
RSL,EQ,21-04-2026,128.31,130.1,134.25,128.0,129.6,129.7,130.61,1195436,1561.33,6973, 557503,46.64
RSL,EQ,22-04-2026,129.7,130.9,130.9,126.91,128.39,128.4,128.79,1466371,1888.48,4895, 446180,30.43
RSL,EQ,23-04-2026,128.4,128.49,134.58,128.49,132.0,131.95,132.39,1933377,2559.65,9204, 1016628,52.58
RSL,EQ,24-04-2026,131.95,134.95,135.75,130.05,132.0,132.23,133.33,1137701,1516.92,6242, 709300,62.35
RSL,EQ,27-04-2026,132.23,134.6,134.95,131.5,133.9,133.41,133.62,1100868,1470.96,3817, 743775,67.56
RSL,EQ,28-04-2026,133.41,135.0,142.92,134.5,138.0,137.65,139.02,2358306,3278.56,10767, 1414454,59.98
RSL,EQ,29-04-2026,137.65,137.9,141.9,137.03,139.7,138.23,139.57,596804,832.99,5750, 261868, 43.88
