SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RUBYMILLS,EQ,12-03-1998,280.0,185.0,185.0,185.0,-,185.0,185.0,100,"18,500.00",-,-,-
RUBYMILLS,EQ,17-03-1998,185.0,183.5,183.5,183.5,-,183.5,183.5,100,"18,350.00",-,-,-
RUBYMILLS,EQ,29-01-2001,183.5,127.0,140.0,127.0,140.0,140.0,133.5,"6,000","8,01,000.00",-,-,-
RUBYMILLS,EQ,17-04-2004,76.0,76.0,76.0,76.0,76.0,76.0,76.0,20,"1,520.00",-,-,-
RUBYMILLS,EQ,10-08-2004,90.1,94.5,94.6,94.5,94.6,94.6,94.53,3,283.60,-,-,-
RUBYMILLS,EQ,30-08-2004,100.0,104.9,104.9,104.85,104.85,104.85,104.88,2,209.75,-,-,-
RUBYMILLS,EQ,07-09-2004,93.15,97.0,97.0,97.0,97.0,97.0,97.0,1,97.00,-,-,-
RUBYMILLS,EQ,04-02-2005,151.0,148.0,154.75,148.0,154.75,154.75,151.38,2,302.75,-,-,-
RUBYMILLS,EQ,08-12-2005,260.65,259.0,268.15,259.0,259.05,259.05,262.07,3,786.20,-,-,-
RUBYMILLS,EQ,01-09-2008,758.45,732.00,742.00,732.00,742.00,737.00,737.00,200,"1,47,400.00",-,-,-
RUBYMILLS,EQ,17-06-2009,749.5,722.00,722.00,712.05,712.05,712.05,717.03,2,"1,434.05",-,-,-
RUBYMILLS,EQ,23-02-2011,825.00,830.00,830.00,830.00,830.00,830.00,830.00,2,"1,660.00",-,-,-
RUBYMILLS,EQ,16-05-2011,794.00,791.00,800.00,791.00,800.00,800.00,795.50,200,"1,59,100.00",-,-,-
