SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SAHLIBHFI,EQ,10-04-2026,84.6,84.77,85.6,83.5,84.0,84.3,84.88,"16,602","14,09,138.49",246,"14,120",85.05
SAHLIBHFI,EQ,13-04-2026,84.3,84.3,84.3,80.0,83.4,81.46,82.89,2880,2.39,178, 2312,80.28
SAHLIBHFI,EQ,15-04-2026,81.46,82.0,83.3,80.02,83.21,83.21,82.76,8448,6.99,169, 7055,83.51
SAHLIBHFI,EQ,16-04-2026,83.21,83.21,83.4,81.25,81.25,81.72,82.43,5389,4.44,77, 4051,75.17
SAHLIBHFI,EQ,17-04-2026,81.72,81.99,83.0,81.32,82.65,82.31,82.2,16071,13.21,129, 14723,91.61
SAHLIBHFI,EQ,20-04-2026,82.31,81.32,86.89,81.32,82.87,83.11,84.14,27526,23.16,358, 24142,87.71
SAHLIBHFI,EQ,21-04-2026,83.11,83.39,84.6,81.11,81.12,81.55,82.97,11911,9.88,196, 9556,80.23
SAHLIBHFI,EQ,22-04-2026,81.55,81.55,82.5,81.0,82.1,82.15,82.13,6710,5.51,82, 6570,97.91
SAHLIBHFI,EQ,23-04-2026,82.15,83.27,83.3,80.13,80.51,80.95,81.84,4515,3.69,73, 3858,85.45
SAHLIBHFI,EQ,24-04-2026,80.95,81.99,82.99,81.0,81.7,81.47,81.62,2243,1.83,53, 1985,88.5
SAHLIBHFI,EQ,27-04-2026,81.47,81.7,82.7,79.01,80.0,80.79,81.19,26670,21.65,202, 25364,95.1
SAHLIBHFI,EQ,28-04-2026,80.79,80.79,81.79,78.03,80.7,80.62,80.04,9802,7.85,164, 7650,78.05
SAHLIBHFI,EQ,29-04-2026,80.62,81.0,82.29,81.0,81.99,81.62,81.37,3777,3.07,36, 3379,89.46
SAHLIBHFI,EQ,30-04-2026,81.62,81.75,81.75,81.0,81.75,81.75,81.07,1006,0.82,17, 997, 99.11
