SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SAIPARENT,EQ,02-04-2026,392.0,400.0,416.0,400.0,405.0,405.7,406.03,"10,52,029","42,71,54,731.35","18,368","2,54,726",24.21
SAIPARENT,EQ,06-04-2026,405.7,407.15,424.2,404.5,406.0,406.65,412.74,173200,714.86,4866, 53549,30.92
SAIPARENT,EQ,07-04-2026,406.65,406.0,418.0,406.0,409.25,409.25,409.51,719931,2948.18,2889, 654930,90.97
SAIPARENT,EQ,08-04-2026,409.25,420.0,443.9,410.7,419.0,421.75,427.27,325968,1392.77,6526, 114724,35.19
SAIPARENT,EQ,09-04-2026,421.75,421.75,436.4,417.05,425.0,422.7,423.74,519701,2202.19,3531, 443025,85.25
SAIPARENT,EQ,10-04-2026,422.7,430.0,438.7,422.75,424.0,423.95,429.93,573844,2467.15,4009, 479873,83.62
SAIPARENT,EQ,13-04-2026,423.95,416.0,434.9,416.0,424.9,426.65,427.37,510764,2182.87,3752, 420872,82.4
SAIPARENT,EQ,15-04-2026,426.65,438.55,457.45,430.0,435.1,436.7,441.82,474226,2095.23,7232, 292445,61.67
SAIPARENT,EQ,16-04-2026,436.7,444.0,475.0,439.15,475.0,465.1,462.4,599708,2773.07,7748, 407719,67.99
SAIPARENT,EQ,17-04-2026,465.1,469.75,526.3,468.35,483.0,480.1,491.48,877373,4312.11,14697, 515555,58.76
SAIPARENT,EQ,20-04-2026,480.1,482.45,492.65,477.3,492.25,489.55,488.59,174187,851.07,5457, 116226,66.72
SAIPARENT,EQ,21-04-2026,489.55,498.95,498.95,468.85,485.0,481.75,481.58,336550,1620.77,3502, 215397, 64.00
