SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SBIMIDMOM,EQ,06-03-2026,60.78,60.34,60.69,59.64,59.95,59.94,60.32,"15,413","9,29,773.26",96,"13,005",84.38
SBIMIDMOM,EQ,09-03-2026,59.94,59.94,59.94,57.39,58.51,58.69,58.13,12086,7.03,100, 6716,55.57
SBIMIDMOM,EQ,10-03-2026,58.69,58.7,59.87,58.7,59.65,59.68,59.63,8697,5.19,57, 8154,93.76
SBIMIDMOM,EQ,11-03-2026,59.68,59.97,60.97,58.5,58.71,58.8,59.71,39861,23.8,124, 33623,84.35
SBIMIDMOM,EQ,12-03-2026,58.8,59.18,59.18,57.6,58.44,58.47,58.35,9371,5.47,79, 8496,90.66
SBIMIDMOM,EQ,13-03-2026,58.47,58.48,58.48,56.69,56.82,56.75,57.11,12493,7.13,172, 11795,94.41
SBIMIDMOM,EQ,16-03-2026,56.75,56.75,58.5,55.8,56.62,57.06,56.45,28809,16.26,123, 18153,63.01
SBIMIDMOM,EQ,17-03-2026,57.06,57.34,57.97,56.66,57.48,57.47,57.24,17911,10.25,75, 15403,86.0
SBIMIDMOM,EQ,18-03-2026,57.47,58.15,58.62,57.94,58.35,58.42,58.34,1593,0.93,34, 1521,95.48
SBIMIDMOM,EQ,19-03-2026,58.42,57.61,58.11,56.26,56.98,56.56,57.08,16321,9.32,164, 15267,93.54
SBIMIDMOM,EQ,20-03-2026,56.56,56.02,57.97,56.02,56.89,56.84,57.0,9603,5.47,70, 8900,92.68
SBIMIDMOM,EQ,23-03-2026,56.84,56.79,57.89,54.09,54.67,54.47,55.17,44272,24.42,266, 30165,68.14
SBIMIDMOM,EQ,24-03-2026,54.47,55.98,56.32,55.0,56.32,56.12,55.6,16282,9.05,97, 11618, 71.35
