SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SBINMID150,EQ,06-04-2026,19.43,19.89,21.0,19.81,21.0,20.29,20.13,"38,023","7,65,486.06",96,"27,568",72.5
SBINMID150,EQ,07-04-2026,20.29,20.39,20.85,19.91,20.11,20.15,20.12,47223,9.5,178, 36213,76.69
SBINMID150,EQ,08-04-2026,20.15,20.7,21.95,20.69,20.94,21.14,21.08,36708,7.74,126, 25182,68.6
SBINMID150,EQ,09-04-2026,21.14,21.14,21.14,20.75,21.02,20.97,20.94,7037,1.47,63, 5917,84.08
SBINMID150,EQ,10-04-2026,20.97,21.87,21.87,21.15,21.37,21.36,21.36,30929,6.61,105, 24538,79.34
SBINMID150,EQ,13-04-2026,21.36,21.42,21.42,20.88,21.24,21.21,21.21,34956,7.41,136, 28107,80.41
SBINMID150,EQ,15-04-2026,21.21,21.54,21.95,21.54,21.63,21.7,21.69,148522,32.21,191, 145417,97.91
SBINMID150,EQ,16-04-2026,21.7,21.93,23.25,21.36,21.36,21.62,21.83,45417,9.92,207, 32522,71.61
SBINMID150,EQ,17-04-2026,21.62,21.62,22.24,21.62,22.03,22.05,21.94,23143,5.08,121, 14979,64.72
SBINMID150,EQ,20-04-2026,22.05,22.29,22.58,21.9,21.9,22.12,22.11,67740,14.98,205, 43679,64.48
SBINMID150,EQ,21-04-2026,22.12,22.13,22.41,22.09,22.2,22.2,22.22,17149,3.81,98, 16383,95.53
SBINMID150,EQ,22-04-2026,22.2,22.44,22.57,22.07,22.57,22.24,22.38,36748,8.22,136, 29009,78.94
SBINMID150,EQ,23-04-2026,22.24,22.2,22.56,22.1,22.25,22.17,22.19,21441,4.76,121, 20606,96.11
SBINMID150,EQ,24-04-2026,22.17,22.45,22.45,21.76,21.9,21.9,22.0,49355,10.86,174, 37275,75.52
SBINMID150,EQ,27-04-2026,21.9,22.05,22.5,22.05,22.2,22.24,22.32,568342,126.85,405, 472370,83.11
SBINMID150,EQ,28-04-2026,22.24,22.2,22.5,22.14,22.26,22.22,22.29,54533,12.15,109, 32739, 60.04
