SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SCANSTL,EQ,20-04-2026,34.2,34.85,34.85,31.35,33.7,33.7,33.8,700,"23,657.15",24,638,91.14
SCANSTL,EQ,21-04-2026,33.7,33.7,34.4,32.0,33.8,34.05,33.55,8000,2.68,36,7647,95.59
SCANSTL,EQ,22-04-2026,34.05,34.0,34.9,32.75,33.9,33.85,33.31,12738,4.24,110,11872,93.2
SCANSTL,EQ,23-04-2026,33.85,34.0,35.95,33.45,35.65,35.5,34.43,48215,16.6,146,42839,88.85
SCANSTL,EQ,24-04-2026,35.5,35.6,38.25,35.0,36.8,36.75,36.45,99659,36.32,942,51127,51.3
SCANSTL,EQ,27-04-2026,36.75,37.5,40.0,37.0,38.55,38.6,39.01,112400,43.84,929,69976,62.26
SCANSTL,EQ,28-04-2026,38.6,38.5,38.5,34.5,36.85,36.25,36.23,51927,18.81,641,33757,65.01
SCANSTL,EQ,29-04-2026,36.25,35.4,37.9,35.4,36.2,36.25,36.48,19617,7.16,515,11405,58.14
SCANSTL,EQ,30-04-2026,36.25,38.5,38.5,35.0,35.95,35.7,35.56,24795,8.82,274,13945,56.24
SCANSTL,EQ,04-05-2026,35.7,35.7,36.94,34.4,36.01,36.01,35.93,8994,3.23,103, 7947, 88.36
