SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SEDEMAC,EQ,11-03-2026,"1,352.00","1,535.00","1,613.50","1,420.00","1,442.00","1,451.10","1,535.74","38,15,477","5,85,95,62,408.50","1,04,611","16,78,971",44.0
SEDEMAC,EQ,12-03-2026,1451.1,1419.0,1522.0,1413.1,1450.0,1441.3,1472.75,436967,6435.43,29533, 121964,27.91
SEDEMAC,EQ,13-03-2026,1441.3,1457.0,1482.0,1442.0,1466.7,1465.5,1464.43,172922,2532.32,14579, 60337,34.89
SEDEMAC,EQ,16-03-2026,1465.5,1490.0,1495.0,1427.9,1473.0,1471.0,1460.8,125990,1840.46,18199, 36442,28.92
SEDEMAC,EQ,17-03-2026,1471.0,1471.0,1523.8,1461.0,1514.1,1503.6,1501.11,137311,2061.18,15826, 37574,27.36
SEDEMAC,EQ,18-03-2026,1503.6,1515.0,1582.1,1512.0,1519.2,1533.1,1542.74,188446,2907.24,18535, 75066,39.83
SEDEMAC,EQ,19-03-2026,1533.1,1517.9,1520.0,1491.0,1509.0,1505.7,1505.27,76805,1156.12,9370, 38087,49.59
SEDEMAC,EQ,20-03-2026,1505.7,1515.0,1533.7,1487.5,1502.0,1501.2,1508.57,96223,1451.6,11222, 46834,48.67
SEDEMAC,EQ,23-03-2026,1501.2,1495.0,1500.4,1440.2,1470.0,1469.5,1465.97,66036,968.07,10698, 30373,45.99
SEDEMAC,EQ,24-03-2026,1469.5,1498.7,1519.0,1464.0,1500.0,1503.8,1494.76,57646,861.67,8050, 20948, 36.34
