SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SEIL,EQ,20-04-2026,178.3,178.3,183.9,175.3,179.9,178.2,181.01,"62,126","1,12,45,281.95",552,"40,281",64.84
SEIL,EQ,21-04-2026,178.2,182.45,182.5,172.9,180.95,181.0,178.78,248890,444.97,1992, 139147,55.91
SEIL,EQ,22-04-2026,181.0,181.0,183.9,177.3,183.9,182.75,181.88,157154,285.83,1167, 98748,62.84
SEIL,EQ,23-04-2026,182.75,184.85,184.85,180.55,183.0,182.4,182.84,78793,144.07,905, 40707,51.66
SEIL,EQ,24-04-2026,182.4,183.95,183.95,180.0,182.0,180.35,180.78,37059,66.99,638, 22474,60.64
SEIL,EQ,27-04-2026,180.35,180.3,197.05,180.05,195.0,194.95,191.32,782012,1496.16,4068, 444072,56.79
SEIL,EQ,28-04-2026,194.95,196.75,201.0,191.2,200.0,199.85,199.07,474588,944.75,2538, 289252,60.95
SEIL,EQ,29-04-2026,199.85,199.4,201.95,195.75,195.75,196.35,196.7,264159,519.59,965, 152322,57.66
SEIL,EQ,30-04-2026,196.35,196.4,196.4,190.15,192.0,191.75,193.61,81028,156.88,836, 44798,55.29
SEIL,EQ,04-05-2026,191.75,205.99,205.99,194.09,200.0,199.96,199.2,305949,609.46,4155, 185009,60.47
SEIL,EQ,06-05-2026,200.56,200.39,202.5,198.7,200.1,199.99,200.62,367167,736.6,4130, 238145,64.86
SEIL,EQ,05-05-2026,199.96,202.99,202.99,197.0,200.94,200.56,199.82,685342,1369.47,3467, 553565, 80.77
