SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHINDL,EQ,20-04-2026,148.25,148.2,151.0,147.15,149.0,148.8,149.17,"45,854","68,39,862.95",308,"4,856",10.59
SHINDL,EQ,21-04-2026,148.8,152.05,152.05,140.15,149.0,148.0,148.15,101507,150.39,625, 9729,9.58
SHINDL,EQ,22-04-2026,148.0,149.95,150.0,146.2,147.25,147.45,148.08,85917,127.23,538, 3415,3.97
SHINDL,EQ,23-04-2026,147.45,149.8,149.9,147.05,149.05,148.05,148.07,199436,295.31,1176, 111566,55.94
SHINDL,EQ,24-04-2026,148.05,149.6,149.6,147.0,148.0,147.75,148.35,149059,221.12,596, 56050,37.6
SHINDL,EQ,27-04-2026,147.75,149.9,149.9,144.05,146.15,147.45,147.86,110457,163.32,356, 12737,11.53
SHINDL,EQ,28-04-2026,147.45,148.75,149.0,146.3,147.65,147.75,147.82,409443,605.26,533, 208368,50.89
SHINDL,EQ,29-04-2026,147.75,148.9,149.65,145.3,147.95,146.65,148.79,127867,190.25,360, 39158,30.62
SHINDL,EQ,30-04-2026,146.65,147.0,150.0,145.6,148.25,148.45,147.36,135920,200.29,479, 6523,4.8
SHINDL,EQ,04-05-2026,148.45,149.5,150.0,146.07,148.2,149.49,148.14,166074,246.02,1004, 25907, 15.60
