SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHRIKRISH,EQ,20-04-2026,39.3,40.0,47.0,35.45,43.8,42.6,44.46,"7,688","3,41,789.90",129,"6,763",87.97
SHRIKRISH,EQ,21-04-2026,42.6,46.6,46.65,35.0,43.35,39.7,42.68,2906,1.24,103, 1449,49.86
SHRIKRISH,EQ,22-04-2026,39.7,40.0,43.3,39.5,42.0,42.0,41.77,2261,0.94,127, 1748,77.31
SHRIKRISH,EQ,23-04-2026,42.0,49.5,49.5,42.2,45.2,44.55,45.11,2914,1.31,155, 2367,81.23
SHRIKRISH,EQ,24-04-2026,44.55,47.95,47.95,39.0,39.0,39.9,42.16,3735,1.57,89, 2310,61.85
SHRIKRISH,EQ,27-04-2026,39.9,47.3,47.85,43.0,47.85,47.85,47.33,48733,23.07,722, 17042,34.97
SHRIKRISH,EQ,28-04-2026,47.85,48.9,56.0,47.0,47.65,47.9,51.6,41810,21.58,913, 21045,50.33
SHRIKRISH,EQ,29-04-2026,47.9,47.0,52.5,47.0,47.1,47.15,48.13,11100,5.34,179, 7274,65.53
SHRIKRISH,EQ,30-04-2026,47.15,49.9,49.9,40.7,43.1,43.15,44.43,8200,3.64,267, 6058,73.88
SHRIKRISH,EQ,04-05-2026,43.15,49.89,49.89,40.0,43.2,42.41,42.97,5575,2.4,309, 3518,63.1
SHRIKRISH,EQ,06-05-2026,43.15,47.9,47.9,41.9,45.49,45.55,45.0,3812,1.72,136, 1957,51.34
SHRIKRISH,EQ,05-05-2026,42.41,48.6,48.75,42.17,42.75,43.15,45.99,9698,4.46,348, 5630, 58.05
