SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SIKA,EQ,20-04-2026,975.25,988.0,988.0,936.0,963.9,958.85,962.59,"4,393","42,28,663.40",464,"3,151",71.73
SIKA,EQ,21-04-2026,958.85,948.0,990.0,948.0,985.0,981.25,983.25,8874,87.25,691, 5693,64.15
SIKA,EQ,22-04-2026,981.25,989.9,1019.95,978.0,1010.0,995.5,999.03,23289,232.66,1985, 12486,53.61
SIKA,EQ,23-04-2026,995.5,980.55,1015.0,980.55,991.05,998.7,998.52,10962,109.46,741, 5296,48.31
SIKA,EQ,24-04-2026,998.7,991.0,1017.95,972.35,994.4,984.0,996.4,15538,154.82,1414, 7171,46.15
SIKA,EQ,27-04-2026,984.0,1008.0,1049.95,985.05,1040.0,1030.7,1013.35,24556,248.84,1595, 13839,56.36
SIKA,EQ,28-04-2026,1030.7,1041.0,1062.35,1029.0,1041.0,1043.7,1048.15,27703,290.37,1965, 14358,51.83
SIKA,EQ,29-04-2026,1043.7,1050.0,1060.0,1031.6,1050.0,1040.75,1053.33,29668,312.5,1936, 15538,52.37
SIKA,EQ,30-04-2026,1040.75,1055.7,1058.85,1000.0,1039.9,1025.7,1021.06,13388,136.7,1494, 6725,50.23
SIKA,EQ,04-05-2026,1025.7,1041.1,1047.5,1006.1,1012.0,1021.5,1029.85,13762,141.73,1241, 8209, 59.65
