SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SINGERIND,EQ,19-03-2026,76.47,74.75,75.79,69.01,70.43,70.42,72.4,"61,428","44,47,657.89","1,545","39,379",64.11
SINGERIND,EQ,20-03-2026,70.42,79.29,79.3,69.11,70.87,70.06,72.2,36536,26.38,992, 15610,42.72
SINGERIND,EQ,23-03-2026,70.06,70.06,70.62,66.0,67.88,68.15,68.87,35996,24.79,656, 22234,61.77
SINGERIND,EQ,24-03-2026,68.15,69.64,70.89,66.65,67.73,68.24,68.82,39456,27.15,1098, 20900,52.97
SINGERIND,EQ,25-03-2026,68.24,68.24,70.09,67.07,68.15,68.34,68.57,103884,71.23,2230, 60373,58.12
SINGERIND,EQ,27-03-2026,68.34,69.6,69.8,64.12,66.1,65.66,66.88,112659,75.35,1762, 64915,57.62
SINGERIND,EQ,30-03-2026,65.66,62.35,65.51,57.15,62.26,60.92,60.22,313483,188.76,4082, 192404,61.38
SINGERIND,EQ,01-04-2026,60.92,62.15,67.6,62.15,67.5,66.86,66.01,83354,55.02,1249, 40177,48.2
SINGERIND,EQ,02-04-2026,66.86,66.0,71.0,64.17,70.25,69.93,67.66,83685,56.62,1586, 49074,58.64
SINGERIND,EQ,06-04-2026,69.93,69.94,70.77,67.31,68.56,68.35,68.74,27406,18.84,823, 13287,48.48
SINGERIND,EQ,07-04-2026,68.35,68.05,69.0,66.01,66.01,66.21,66.93,26158,17.51,554, 13793,52.73
SINGERIND,EQ,08-04-2026,66.21,69.85,72.4,67.0,71.25,71.43,70.14,85394,59.89,1283, 54412,63.72
SINGERIND,EQ,09-04-2026,71.43,69.52,74.49,69.02,71.0,71.37,72.31,115023,83.17,1525, 64134,55.76
SINGERIND,EQ,10-04-2026,71.37,71.99,74.8,71.12,74.8,74.37,73.32,80749,59.21,894, 62967,77.98
SINGERIND,EQ,13-04-2026,74.37,73.99,77.25,72.11,77.25,76.72,74.53,46871,34.93,908, 27252,58.14
SINGERIND,EQ,15-04-2026,76.72,78.5,78.5,75.9,77.77,76.97,76.71,47534,36.46,516, 34593,72.78
SINGERIND,EQ,16-04-2026,76.97,77.38,77.38,75.41,76.49,76.12,76.32,26841,20.49,723, 12049,44.89
SINGERIND,EQ,17-04-2026,76.12,77.34,80.0,75.02,76.4,76.21,77.34,100629,77.83,1423, 39831,39.58
SINGERIND,EQ,20-04-2026,76.21,78.73,78.73,72.61,72.99,72.87,74.39,100791,74.98,1256, 74805, 74.22
