SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SPCON,ST,13-03-2026,98.0,100.05,105.05,100.05,105.0,104.4,100.72,"5,24,400","5,28,18,060.00",254,"5,20,800",99.31
SPCON,ST,16-03-2026,104.4,100.15,106.05,100.15,105.6,105.8,104.52,57600,60.2,38, 54000,93.75
SPCON,ST,17-03-2026,105.8,105.0,106.05,103.0,103.0,103.0,104.6,32400,33.89,17, 32400,100.0
SPCON,ST,18-03-2026,103.0,101.0,104.5,99.0,104.5,104.5,101.96,22800,23.25,14, 20400,89.47
SPCON,ST,19-03-2026,104.5,102.05,102.05,102.0,102.0,102.0,102.03,2400,2.45,2, 2400,100.0
SPCON,ST,20-03-2026,102.0,100.25,102.05,100.0,102.05,102.05,101.11,13200,13.35,8, 12000,90.91
SPCON,ST,24-03-2026,102.05,102.05,102.05,101.5,102.0,101.75,101.83,13200,13.44,4, 13200,100.0
SPCON,ST,25-03-2026,101.75,100.0,100.0,100.0,100.0,100.0,100.0,18000,18.0,2, 18000,100.0
SPCON,SM,30-03-2026,100.0,109.0,109.0,109.0,109.0,109.0,109.0,1200,1.31,1, 1200,100.0
SPCON,SM,01-04-2026,109.0,118.0,120.0,117.0,120.0,120.0,118.33,3600,4.26,3, 3600,100.0
SPCON,SM,02-04-2026,120.0,143.6,143.6,112.1,123.0,123.0,121.84,8400,10.23,6, 6000,71.43
SPCON,SM,06-04-2026,123.0,125.8,129.0,120.0,129.0,126.25,126.04,18000,22.69,14, 15600,86.67
SPCON,SM,07-04-2026,126.25,127.9,127.9,120.0,120.0,123.7,124.74,4800,5.99,4, 4800,100.0
SPCON,SM,08-04-2026,123.7,124.0,124.0,119.0,119.0,119.0,121.28,9600,11.64,8, 8400,87.5
SPCON,SM,09-04-2026,119.0,125.35,128.0,125.35,128.0,128.0,126.68,2400,3.04,2, 2400,100.0
SPCON,SM,10-04-2026,128.0,120.15,121.65,117.3,120.0,120.0,119.74,8400,10.06,7, 3600,42.86
SPCON,SM,13-04-2026,120.0,122.45,125.0,122.45,125.0,125.0,123.97,6000,7.44,4, 3600, 60.00
