SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SRTL,BE,02-03-2026,104.0,68.0,71.4,66.0,71.4,71.4,68.3,"61,26,419","41,84,42,573.48","8,940",-,-
SRTL,BE,04-03-2026,71.4,70.6,73.36,67.83,67.83,67.83,69.71,451548,314.76,3403, -, -
SRTL,BE,05-03-2026,67.83,66.35,67.83,64.44,64.44,64.44,64.82,195512,126.72,1769, -, -
SRTL,BE,06-03-2026,64.44,61.22,61.22,61.22,61.22,61.22,61.22,110945,67.92,1026, -, -
SRTL,BE,09-03-2026,61.22,58.16,58.16,58.16,58.16,58.16,58.16,31687,18.43,634, -, -
SRTL,BE,10-03-2026,58.16,55.3,58.0,55.26,56.75,56.4,55.8,623783,348.08,3391, -, -
SRTL,BE,11-03-2026,56.4,54.1,55.7,53.58,53.58,53.58,53.91,185614,100.07,1601, -, -
SRTL,BE,12-03-2026,53.58,50.91,50.91,50.91,50.91,50.91,50.91,62581,31.86,741, -, -
SRTL,BE,13-03-2026,50.91,49.0,50.9,48.37,48.37,48.37,48.81,209228,102.13,1484, -, -
SRTL,BE,16-03-2026,48.37,46.0,50.78,45.96,50.78,50.59,47.99,355577,170.64,2813, -, -
SRTL,EQ,17-03-2026,50.59,51.0,52.49,48.0,48.2,48.34,49.63,364511,180.9,3604, 191413, 52.51
SRTL,EQ,18-03-2026,48.34,48.59,48.78,46.58,47.4,47.13,47.52,266923,126.83,2006, 143796, 53.87
SRTL,EQ,19-03-2026,47.13,47.0,50.84,46.0,48.5,48.27,49.15,473604,232.79,4321, 130515, 27.56
SRTL,EQ,20-03-2026,48.27,50.4,51.27,47.88,48.0,48.42,49.71,403245,200.46,2535, 204416, 50.69
SRTL,EQ,23-03-2026,48.42,48.0,48.02,44.0,44.7,44.21,45.29,360845,163.43,2449, 241169, 66.83
SRTL,EQ,24-03-2026,44.21,44.87,46.5,42.5,44.03,44.07,44.16,174263,76.95,1954, 79399, 45.56
