SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STRIDERS,ST,06-03-2026,72.0,70.0,70.0,66.5,66.5,66.5,68.86,"8,33,600","5,74,05,760.00",211,"8,33,600",100.0
STRIDERS,ST,09-03-2026,66.5,63.2,63.2,63.2,63.2,63.2,63.2,25600,16.18,5, 25600,100.0
STRIDERS,ST,10-03-2026,63.2,60.1,60.1,60.05,60.05,60.05,60.05,272000,163.34,27, 272000,100.0
STRIDERS,ST,11-03-2026,60.05,57.05,57.05,57.05,57.05,57.05,57.05,4800,2.74,3, 4800,100.0
STRIDERS,ST,12-03-2026,57.05,54.2,59.9,54.2,59.9,59.9,55.02,1008000,554.62,127, 1001600,99.37
STRIDERS,ST,13-03-2026,59.9,58.75,62.85,58.5,62.7,62.7,60.55,57600,34.88,32, 57600,100.0
STRIDERS,ST,16-03-2026,62.7,61.95,65.4,61.95,65.4,65.4,62.83,504000,316.67,54, 504000,100.0
STRIDERS,ST,17-03-2026,65.4,65.4,68.0,62.15,68.0,68.0,65.61,217600,142.76,29, 216000,99.26
STRIDERS,ST,18-03-2026,68.0,68.0,68.95,66.0,66.0,66.05,67.02,33600,22.52,20, 33600,100.0
STRIDERS,ST,19-03-2026,66.05,67.45,67.5,65.55,67.0,67.0,66.02,51200,33.8,12, 51200,100.0
STRIDERS,SM,20-03-2026,67.0,66.05,66.5,64.5,65.5,65.5,65.39,81600,53.36,15, 80000,98.04
STRIDERS,SM,23-03-2026,65.5,64.9,64.9,64.9,64.9,64.9,64.9,8000,5.19,5, 8000,100.0
STRIDERS,SM,24-03-2026,64.9,64.8,64.8,60.1,63.1,63.1,62.78,6400,4.02,4, 4800,75.0
STRIDERS,SM,25-03-2026,63.1,67.0,67.0,62.0,64.0,64.0,63.46,112000,71.07,13, 102400,91.43
STRIDERS,SM,27-03-2026,64.0,64.0,66.95,58.15,60.1,60.5,59.73,140800,84.1,31, 118400,84.09
STRIDERS,SM,30-03-2026,60.5,65.0,65.0,63.5,63.5,63.5,64.25,6400,4.11,4, 0,0.0
STRIDERS,SM,01-04-2026,63.5,64.0,65.25,62.0,62.0,62.0,63.55,30400,19.32,16, 20800,68.42
STRIDERS,SM,02-04-2026,62.0,62.0,64.0,62.0,64.0,64.0,62.67,4800,3.01,2, 4800,100.0
STRIDERS,SM,06-04-2026,64.0,66.95,68.0,64.5,67.5,67.05,66.64,523200,348.64,81, 518400,99.08
STRIDERS,SM,07-04-2026,67.05,67.0,68.0,66.95,67.5,67.1,67.37,235200,158.46,44, 233600,99.32
STRIDERS,SM,08-04-2026,67.1,67.5,68.0,65.6,67.0,67.45,66.61,166400,110.83,42, 156800,94.23
STRIDERS,SM,09-04-2026,67.45,67.0,68.0,65.4,67.0,67.0,66.63,206400,137.52,27, 206400,100.0
STRIDERS,SM,10-04-2026,67.0,67.5,68.0,67.5,68.0,67.95,67.63,11200,7.57,6, 11200,100.0
STRIDERS,SM,13-04-2026,67.95,67.6,67.65,67.0,67.0,67.0,67.42,4800,3.24,3, 4800,100.0
STRIDERS,SM,15-04-2026,67.0,67.0,68.8,66.0,66.7,66.35,67.8,36800,24.95,16, 33600,91.3
STRIDERS,SM,16-04-2026,66.35,66.05,67.9,65.35,65.35,66.3,66.84,27200,18.18,14, 24000,88.24
STRIDERS,SM,17-04-2026,66.3,68.0,68.0,65.45,66.5,66.5,66.42,11200,7.44,7, 9600,85.71
STRIDERS,SM,20-04-2026,66.5,66.5,68.0,64.1,68.0,68.0,66.86,22400,14.98,11, 16000,71.43
STRIDERS,SM,21-04-2026,68.0,68.0,68.0,65.25,66.35,66.35,67.28,25600,17.22,14, 19200,75.0
STRIDERS,SM,22-04-2026,66.35,66.35,66.35,66.35,66.35,66.35,66.35,4800,3.18,2, 4800,100.0
STRIDERS,SM,23-04-2026,66.35,66.0,66.0,66.0,66.0,66.0,66.0,1600,1.06,1, 1600, 100.00
