SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUNREST-RE,ST,02-04-2026,2.5,1.5,1.5,1.5,1.5,1.5,1.5,"6,400","9,600.00",3,"6,400",100.0
SUNREST-RE,ST,06-04-2026,1.5,0.9,1.35,0.9,1.35,1.35,0.96,22400,0.22,14, 22400,100.0
SUNREST-RE,ST,07-04-2026,1.35,0.9,1.2,0.9,1.2,1.2,0.99,33600,0.33,7, 33600,100.0
SUNREST-RE,ST,08-04-2026,1.2,0.75,0.75,0.75,0.75,0.75,0.75,4800,0.04,3, 4800,100.0
SUNREST-RE,ST,09-04-2026,0.75,0.6,0.75,0.6,0.6,0.6,0.61,28800,0.18,15, 28800,100.0
SUNREST-RE,ST,10-04-2026,0.6,0.5,0.5,0.5,0.5,0.5,0.5,17600,0.09,8, 17600,100.0
SUNREST-RE,ST,13-04-2026,0.5,0.5,0.5,0.45,0.45,0.45,0.48,4800,0.02,3, 4800,100.0
SUNREST-RE,ST,15-04-2026,0.45,0.5,0.5,0.4,0.4,0.4,0.41,20800,0.08,6, 20800,100.0
SUNREST-RE,ST,16-04-2026,0.4,0.4,0.4,0.35,0.4,0.4,0.37,30400,0.11,13, 30400,100.0
SUNREST-RE,ST,17-04-2026,0.4,0.4,0.4,0.35,0.4,0.35,0.38,9600,0.04,5, 9600,100.0
SUNREST-RE,ST,20-04-2026,0.35,0.4,0.4,0.3,0.4,0.4,0.33,48000,0.16,11, 38400,80.0
SUNREST-RE,ST,21-04-2026,0.4,0.35,0.4,0.35,0.4,0.4,0.37,4800,0.02,3, 4800,100.0
SUNREST-RE,ST,22-04-2026,0.4,0.35,0.35,0.35,0.35,0.35,0.35,17600,0.06,5, 17600,100.0
SUNREST-RE,ST,27-04-2026,0.35,0.35,0.35,0.3,0.3,0.3,0.3,32000,0.1,18, 32000, 100.00
