SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SURYALA,EQ,20-04-2026,347.0,346.95,359.9,346.95,359.85,357.25,348.55,161,"56,116.55",13,158,98.14
SURYALA,EQ,21-04-2026,357.25,350.0,373.0,350.0,364.3,369.7,370.44,3102,11.49,67,2692,86.78
SURYALA,EQ,22-04-2026,369.7,342.45,372.0,342.4,372.0,371.7,362.29,407,1.47,30,368,90.42
SURYALA,EQ,23-04-2026,371.7,370.0,380.0,360.0,375.0,375.0,375.32,460,1.73,35,421,91.52
SURYALA,EQ,24-04-2026,375.0,366.5,380.0,355.05,365.0,365.0,368.32,103,0.38,23,88,85.44
SURYALA,EQ,27-04-2026,365.0,354.6,355.0,350.0,350.0,350.0,354.48,222,0.79,14,220,99.1
SURYALA,EQ,28-04-2026,350.0,347.0,359.95,341.1,348.8,352.45,349.04,407,1.42,21,404,99.26
SURYALA,EQ,29-04-2026,352.45,352.45,372.3,346.35,346.5,346.5,353.05,295,1.04,13,274,92.88
SURYALA,EQ,30-04-2026,346.5,358.95,358.95,330.3,342.05,344.5,339.84,1435,4.88,49,459,31.99
SURYALA,EQ,04-05-2026,344.5,337.35,367.85,337.35,342.35,362.65,362.47,277,1.0,37,223,80.51
SURYALA,EQ,06-05-2026,367.5,367.5,372.95,367.5,370.0,369.85,369.2,185,0.68,7,184,99.46
SURYALA,EQ,05-05-2026,362.65,363.0,374.45,355.05,370.0,367.5,367.79,528,1.94,23, 381, 72.16
