SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TAALTECH,EQ,20-04-2026,"3,050.10","3,099.95","3,100.00","2,946.30","2,986.00","2,986.00","3,052.53",154,"4,70,089.80",28,142,92.21
TAALTECH,EQ,21-04-2026,2986.0,3049.95,3049.95,2990.0,3040.0,3046.65,3031.07,44,1.33,22,37,84.09
TAALTECH,EQ,22-04-2026,3046.65,3046.65,3050.0,2950.0,3000.0,3000.4,3013.93,535,16.12,108,380,71.03
TAALTECH,EQ,23-04-2026,3000.4,2949.95,3048.95,2912.45,2950.0,3005.25,2970.01,480,14.26,52,444,92.5
TAALTECH,EQ,24-04-2026,3005.25,3040.0,3040.0,2930.0,2969.0,2969.0,2952.88,387,11.43,71,173,44.7
TAALTECH,EQ,27-04-2026,2969.0,2874.05,3048.55,2874.05,3014.95,2998.7,2991.93,385,11.52,87,316,82.08
TAALTECH,EQ,28-04-2026,2998.7,3046.05,3046.05,2956.1,2999.0,2999.2,2986.76,254,7.59,48,133,52.36
TAALTECH,EQ,29-04-2026,2999.2,2912.6,3015.0,2912.6,2970.15,2970.2,2977.13,808,24.06,74,628,77.72
TAALTECH,EQ,30-04-2026,2970.2,2970.15,2970.15,2935.55,2950.0,2950.0,2951.7,407,12.01,40,389,95.58
TAALTECH,EQ,04-05-2026,2950.0,2950.0,3097.3,2915.0,2932.0,2938.2,2972.86,383,11.39,87,251,65.54
TAALTECH,EQ,06-05-2026,2961.8,3098.0,3098.0,2940.2,2960.0,2943.2,2951.42,525,15.49,52,407,77.52
TAALTECH,EQ,05-05-2026,2938.2,2998.9,2998.9,2910.0,2930.3,2961.8,2965.97,773,22.93,133, 644, 83.31
