SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TCC,EQ,25-02-2026,438.7,526.4,526.4,456.05,463.0,466.25,497.15,"4,22,570","21,00,80,818.80","6,021","2,93,507",69.46
TCC,EQ,26-02-2026,466.25,465.6,476.0,453.7,453.7,458.45,464.8,31519,146.5,2301, 5885,18.67
TCC,EQ,27-02-2026,458.45,458.45,468.7,441.55,445.0,447.1,457.83,39883,182.6,4386, 7961,19.96
TCC,EQ,02-03-2026,447.1,447.0,447.0,419.9,428.35,429.45,433.72,28081,121.79,3013, 8735,31.11
TCC,EQ,04-03-2026,429.45,425.4,427.95,383.0,383.0,395.75,411.74,48134,198.19,948, 40022,83.15
TCC,EQ,05-03-2026,395.75,388.0,450.0,387.95,438.8,423.5,402.67,22322,89.88,776, 13844,62.02
TCC,EQ,06-03-2026,423.5,423.45,432.0,405.35,406.0,407.8,418.81,16047,67.21,1751, 5121,31.91
TCC,EQ,09-03-2026,407.8,407.0,407.45,400.05,403.95,402.9,404.66,2391,9.68,155, 1659,69.39
TCC,EQ,10-03-2026,402.9,409.0,420.4,391.1,394.85,398.2,402.08,8074,32.46,366, 5818,72.06
TCC,EQ,11-03-2026,398.2,401.2,410.0,400.0,404.25,401.35,403.59,7000,28.25,320, 4959,70.84
TCC,EQ,12-03-2026,401.35,405.45,420.8,405.0,410.1,413.25,411.62,7863,32.37,277, 3673,46.71
TCC,EQ,13-03-2026,413.25,409.1,409.1,387.8,395.0,395.25,403.08,5878,23.69,301, 4195,71.37
TCC,EQ,16-03-2026,395.25,406.0,406.0,365.05,370.85,367.7,380.35,21048,80.06,783, 11647,55.34
TCC,EQ,17-03-2026,367.7,376.1,379.95,367.0,370.0,369.95,372.38,8028,29.89,579, 4240,52.82
TCC,EQ,18-03-2026,369.95,371.8,374.4,362.35,365.0,365.65,372.79,22268,83.01,458, 19532,87.71
TCC,EQ,19-03-2026,365.65,372.0,373.8,353.3,354.3,355.95,359.53,20622,74.14,488, 17884,86.72
TCC,EQ,20-03-2026,355.95,353.95,370.3,345.05,364.95,358.65,356.99,12829,45.8,1216, 7448,58.06
TCC,EQ,23-03-2026,358.65,377.0,377.0,310.0,330.0,331.05,350.57,25113,88.04,1351, 20024,79.74
TCC,EQ,24-03-2026,331.05,348.9,360.0,331.15,343.0,352.95,350.31,88702,310.74,857, 82770,93.31
TCC,EQ,25-03-2026,352.95,354.0,375.0,354.0,375.0,372.05,363.58,8145,29.61,473, 5527,67.86
TCC,EQ,27-03-2026,372.05,374.9,374.9,342.05,350.0,346.7,355.5,95599,339.86,635, 88620,92.7
TCC,EQ,30-03-2026,346.7,364.95,364.95,310.5,330.0,324.9,329.17,21349,70.27,984, 10682,50.04
TCC,EQ,01-04-2026,324.9,326.0,349.95,326.0,349.85,346.2,346.53,2247,7.79,212, 927,41.26
TCC,EQ,02-04-2026,346.2,345.0,350.0,335.05,350.0,347.9,345.1,6098,21.04,456, 3576,58.64
TCC,EQ,06-04-2026,347.9,351.25,364.7,351.25,356.2,355.9,357.28,5889,21.04,322, 3474,58.99
TCC,EQ,07-04-2026,355.9,375.05,382.0,350.0,350.2,353.75,357.38,13508,48.28,732, 7815,57.85
TCC,EQ,08-04-2026,353.75,364.45,378.0,363.1,365.0,367.15,369.02,6660,24.58,399, 3642,54.68
TCC,EQ,09-04-2026,367.15,357.0,375.9,355.0,360.15,361.45,367.71,9724,35.76,773, 3540,36.4
TCC,EQ,10-04-2026,361.45,361.45,374.0,361.45,372.0,369.65,368.35,6356,23.41,319, 3696,58.15
TCC,EQ,13-04-2026,369.65,367.8,370.3,358.35,365.4,367.35,367.96,3110,11.44,184, 1650,53.05
TCC,EQ,15-04-2026,367.35,372.5,381.95,366.0,379.0,377.5,374.29,10229,38.29,419, 6421,62.77
TCC,EQ,16-04-2026,377.5,383.65,399.6,383.65,389.9,390.95,392.17,24408,95.72,953, 16820,68.91
TCC,EQ,17-04-2026,390.95,378.0,402.0,378.0,383.3,389.4,390.93,23982,93.75,1540, 13217, 55.11
