SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TECHNVISN,EQ,21-04-2026,"6,038.10","6,029.00","6,099.00","5,969.95","6,099.00","6,072.00","6,025.92",43,"2,59,114.45",11,41,95.35
TECHNVISN,EQ,22-04-2026,6072.0,6072.0,6072.05,5887.95,5900.0,5900.0,5906.68,209,12.34,32,202,96.65
TECHNVISN,EQ,23-04-2026,5900.0,5899.95,5900.0,5811.9,5900.0,5850.35,5870.82,94,5.52,18,56,59.57
TECHNVISN,EQ,24-04-2026,5850.35,5817.35,5818.05,5500.0,5680.0,5723.0,5737.97,63,3.61,29,32,50.79
TECHNVISN,EQ,27-04-2026,5723.0,5682.15,5750.0,5599.95,5750.0,5744.6,5678.43,101,5.74,23,89,88.12
TECHNVISN,EQ,28-04-2026,5744.6,5715.9,5862.0,5620.0,5860.0,5783.35,5734.27,122,7.0,20,104,85.25
TECHNVISN,EQ,29-04-2026,5783.35,5783.3,6198.0,5700.0,6198.0,5982.0,5777.83,193,11.15,82,143,74.09
TECHNVISN,EQ,30-04-2026,5982.0,5950.0,5976.0,5950.0,5976.0,5976.0,5963.0,2,0.12,2,2,100.0
TECHNVISN,EQ,04-05-2026,5976.0,5550.0,5900.0,5550.0,5899.0,5821.5,5761.18,28,1.61,13,22,78.57
TECHNVISN,EQ,06-05-2026,5533.5,6075.5,6075.5,5561.0,5562.0,5562.0,5790.27,63,3.65,21,54,85.71
TECHNVISN,EQ,05-05-2026,5821.5,5301.0,5697.5,5301.0,5619.0,5533.5,5445.19,419,22.82,94, 349, 83.29
