SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ULTRAMAR,EQ,20-04-2026,418.95,420.05,428.85,413.0,415.05,419.25,419.56,"1,367","5,73,543.45",75,"1,091",79.81
ULTRAMAR,EQ,21-04-2026,419.25,417.15,420.0,408.5,410.5,411.85,414.92,10639,44.14,271, 7538,70.85
ULTRAMAR,EQ,22-04-2026,411.85,414.75,414.8,402.1,411.9,410.55,409.07,6390,26.14,209, 3924,61.41
ULTRAMAR,EQ,23-04-2026,410.55,414.75,414.75,405.0,405.5,407.1,409.02,5472,22.38,1026, 3648,66.67
ULTRAMAR,EQ,24-04-2026,407.1,409.05,412.4,399.9,405.0,406.55,405.76,5930,24.06,274, 4724,79.66
ULTRAMAR,EQ,27-04-2026,406.55,402.35,414.95,402.35,412.7,409.2,407.81,5980,24.39,424, 3053,51.05
ULTRAMAR,EQ,28-04-2026,409.2,410.0,411.65,396.35,399.8,399.9,401.45,14378,57.72,1114, 11508,80.04
ULTRAMAR,EQ,29-04-2026,399.9,400.5,419.5,400.1,410.0,409.1,412.96,32279,133.3,2796, 19836,61.45
ULTRAMAR,EQ,30-04-2026,409.1,413.8,415.0,409.15,410.05,410.2,411.19,6514,26.79,401, 3883,59.61
ULTRAMAR,EQ,04-05-2026,410.2,410.2,412.0,399.4,405.9,403.25,402.91,21942,88.41,960, 14711,67.04
ULTRAMAR,EQ,06-05-2026,403.7,400.0,411.95,400.0,405.3,407.45,403.92,7826,31.61,504, 3706,47.35
ULTRAMAR,EQ,05-05-2026,403.25,404.2,410.0,402.1,402.75,403.7,406.64,11577,47.08,1001, 7409, 64.00
