SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VALUE,EQ,27-03-2026,15.08,15.3,15.31,15.13,15.18,15.15,15.2,"10,724","1,63,033.53",39,"9,702",90.47
VALUE,EQ,30-03-2026,15.15,15.11,15.25,15.0,15.01,15.0,15.18,20629,3.13,69, 20299,98.4
VALUE,EQ,01-04-2026,15.0,15.37,15.54,15.27,15.3,15.3,15.31,2304142,352.73,346, 2303045,99.95
VALUE,EQ,02-04-2026,15.3,14.97,15.25,14.83,15.19,15.19,15.04,13226,1.99,43, 8808,66.6
VALUE,EQ,06-04-2026,15.19,15.22,18.32,15.19,15.39,15.91,15.65,15667,2.45,51, 11066,70.63
VALUE,EQ,07-04-2026,15.91,15.46,18.0,15.44,15.51,15.51,15.51,31278,4.85,102, 21925,70.1
VALUE,EQ,08-04-2026,15.51,16.06,16.1,15.85,16.0,15.96,15.99,33699,5.39,55, 17828,52.9
VALUE,EQ,09-04-2026,15.96,15.98,16.12,15.97,16.04,16.04,16.07,19182,3.08,35, 10028,52.28
VALUE,EQ,10-04-2026,16.04,16.18,16.18,16.1,16.14,16.14,16.14,191879,30.98,32, 190234,99.14
VALUE,EQ,13-04-2026,16.14,16.14,16.14,15.8,16.07,16.06,15.94,18108,2.89,50, 14585,80.54
VALUE,EQ,15-04-2026,16.06,16.33,16.45,16.33,16.42,16.43,16.38,5938,0.97,52, 4431,74.62
VALUE,EQ,16-04-2026,16.43,16.56,16.56,16.4,16.49,16.48,16.49,37875,6.24,45, 37843,99.92
VALUE,EQ,17-04-2026,16.48,16.45,19.69,16.45,16.6,16.94,16.78,40631,6.82,42, 24969,61.45
VALUE,EQ,20-04-2026,16.94,16.6,17.67,16.45,16.64,16.72,16.65,98141,16.34,212, 58119,59.22
VALUE,EQ,21-04-2026,16.72,16.98,16.98,16.69,16.71,16.69,16.74,12773,2.14,57, 10370,81.19
VALUE,EQ,22-04-2026,16.69,16.69,16.92,16.5,16.73,16.67,16.58,27274779,4522.55,2017, 7398689,27.13
VALUE,EQ,23-04-2026,16.67,16.67,17.37,16.55,16.71,16.62,16.68,307541,51.31,279, 277329,90.18
VALUE,EQ,24-04-2026,16.62,16.62,16.64,16.44,16.56,16.63,16.61,96779,16.08,83, 86369,89.24
VALUE,EQ,27-04-2026,16.63,16.64,16.83,16.63,16.77,16.75,16.71,151370,25.3,88, 144616,95.54
VALUE,EQ,28-04-2026,16.75,16.75,16.91,16.75,16.8,16.8,16.84,52472,8.84,85, 37161,70.82
VALUE,EQ,29-04-2026,16.8,16.8,17.0,16.75,16.83,16.88,16.9,144990,24.5,96, 133834,92.31
VALUE,EQ,30-04-2026,16.88,16.97,16.97,16.53,16.67,16.65,16.68,48954,8.17,136, 39923, 81.55
