SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VIVIDEL,ST,07-04-2026,555.0,565.0,593.25,556.0,556.0,563.05,566.82,"8,93,760","50,66,03,880.00",819,"8,92,560",99.87
VIVIDEL,ST,08-04-2026,563.05,565.0,586.85,559.0,580.0,581.45,566.76,257520,1459.51,214, 256560,99.63
VIVIDEL,ST,09-04-2026,581.45,590.35,610.5,580.05,610.5,610.5,596.67,35280,210.51,85, 35280,100.0
VIVIDEL,ST,10-04-2026,610.5,641.0,641.0,613.0,639.0,635.4,639.89,78240,500.65,135, 68400,87.42
VIVIDEL,ST,13-04-2026,635.4,617.0,658.0,610.5,634.9,636.3,639.35,24480,156.51,75, 22560,92.16
VIVIDEL,ST,15-04-2026,636.3,644.0,650.0,615.0,626.0,626.0,623.71,13200,82.33,41, 12720,96.36
VIVIDEL,ST,16-04-2026,626.0,626.0,650.0,616.0,645.0,646.8,625.39,20400,127.58,45, 20160,98.82
VIVIDEL,ST,17-04-2026,646.8,654.0,657.5,640.0,645.0,645.0,646.93,13200,85.39,35, 12960,98.18
VIVIDEL,ST,20-04-2026,645.0,645.0,677.0,635.0,672.0,674.0,664.7,25920,172.29,85, 21600,83.33
VIVIDEL,ST,21-04-2026,674.0,685.0,707.7,680.0,707.7,701.55,693.93,28560,198.19,94, 26880,94.12
VIVIDEL,SM,22-04-2026,701.55,701.55,776.0,697.65,752.95,746.2,745.88,109200,814.5,355, 49440,45.27
VIVIDEL,SM,23-04-2026,746.2,739.95,770.0,730.0,760.0,760.0,758.73,39600,300.46,122, 32880,83.03
VIVIDEL,SM,24-04-2026,760.0,771.0,790.0,750.0,790.0,783.8,774.94,42960,332.91,116, 24000,55.87
VIVIDEL,SM,27-04-2026,783.8,783.7,789.0,731.0,735.1,741.75,763.29,33600,256.46,64, 29280,87.14
VIVIDEL,SM,28-04-2026,741.75,731.0,737.9,665.0,668.0,672.45,686.54,49920,342.72,127, 39600, 79.33
