SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
YAAP,ST,05-03-2026,145.0,127.0,133.35,127.0,133.35,133.35,127.25,"18,55,000","23,60,51,900.00",806,"18,55,000",100.0
YAAP,ST,06-03-2026,133.35,140.0,140.0,140.0,140.0,140.0,140.0,22000,30.8,15, 22000,100.0
YAAP,ST,09-03-2026,140.0,133.0,139.7,133.0,138.0,135.0,133.87,369000,493.96,185, 311000,84.28
YAAP,ST,10-03-2026,135.0,133.0,141.75,132.9,141.75,141.75,138.29,141000,194.99,97, 131000,92.91
YAAP,ST,11-03-2026,141.75,144.8,148.8,144.8,148.8,147.65,148.57,428000,635.89,183, 416000,97.2
YAAP,ST,12-03-2026,147.65,147.0,149.9,140.3,147.95,147.0,145.5,50000,72.75,47, 48000,96.0
YAAP,ST,13-03-2026,147.0,147.0,149.0,139.65,139.65,139.65,142.46,39000,55.56,27, 37000,94.87
YAAP,ST,16-03-2026,139.65,139.65,143.2,135.0,143.2,142.6,138.19,40000,55.28,23, 38000,95.0
YAAP,ST,17-03-2026,142.6,143.2,146.9,141.9,145.0,144.95,144.62,34000,49.17,23, 34000,100.0
YAAP,ST,18-03-2026,144.95,147.5,152.15,147.0,147.0,147.0,151.16,126000,190.47,96, 122000,96.83
YAAP,SM,19-03-2026,147.0,147.0,155.0,140.25,141.0,141.15,146.45,61000,89.33,59, 43000,70.49
YAAP,SM,20-03-2026,141.15,145.0,150.0,145.0,146.5,146.5,147.1,32000,47.07,28, 21000,65.63
YAAP,SM,23-03-2026,146.5,146.0,146.0,138.0,141.0,140.6,141.2,59000,83.31,46, 56000,94.92
YAAP,SM,24-03-2026,140.6,146.0,153.45,146.0,148.5,148.5,150.49,163000,245.3,62, 139000,85.28
YAAP,SM,25-03-2026,148.5,151.95,154.0,147.0,147.05,147.05,150.24,113000,169.78,37, 100000,88.5
YAAP,SM,27-03-2026,147.05,147.05,147.05,143.0,143.0,143.0,145.23,18000,26.14,12, 17000,94.44
YAAP,SM,30-03-2026,143.0,145.9,145.9,137.0,139.0,138.15,139.6,9000,12.56,7, 5000,55.56
YAAP,SM,01-04-2026,138.15,142.0,142.2,136.0,142.2,139.85,138.72,23000,31.91,20, 16000,69.57
YAAP,SM,02-04-2026,139.85,142.65,167.8,138.0,162.5,165.75,154.48,167000,257.99,86, 86000,51.5
YAAP,SM,06-04-2026,165.75,163.0,163.5,157.25,162.95,162.95,161.27,31000,49.99,25, 23000,74.19
YAAP,SM,07-04-2026,162.95,164.9,164.9,155.0,155.0,155.0,157.16,81000,127.3,18, 77000,95.06
YAAP,SM,08-04-2026,155.0,161.95,162.0,155.0,160.0,159.75,158.96,44000,69.94,33, 37000,84.09
YAAP,SM,09-04-2026,159.75,159.95,159.95,155.0,155.0,155.0,156.24,7000,10.94,6, 6000,85.71
YAAP,SM,10-04-2026,155.0,155.0,161.5,152.5,160.0,158.55,157.96,65000,102.68,49, 55000,84.62
YAAP,SM,13-04-2026,158.55,159.95,162.0,157.5,157.5,157.5,161.0,17000,27.37,16, 15000,88.24
YAAP,SM,15-04-2026,157.5,162.0,162.0,159.0,161.0,160.5,161.19,19000,30.63,16, 19000,100.0
YAAP,SM,16-04-2026,160.5,130.0,159.85,130.0,152.15,153.15,151.75,20000,30.35,19, 11000,55.0
YAAP,SM,17-04-2026,153.15,156.0,169.95,156.0,159.0,159.0,162.92,24000,39.1,23, 19000,79.17
YAAP,SM,20-04-2026,159.0,168.0,168.8,161.0,165.0,165.0,165.77,24000,39.79,22, 18000,75.0
YAAP,SM,21-04-2026,165.0,168.8,168.8,157.9,157.9,158.2,162.8,13000,21.16,13, 10000,76.92
YAAP,SM,22-04-2026,158.2,162.9,183.95,162.8,180.95,180.7,172.23,423000,728.54,103, 374000,88.42
YAAP,SM,23-04-2026,180.7,183.0,195.4,180.1,190.0,193.45,190.33,158000,300.72,111, 117000,74.05
YAAP,SM,24-04-2026,193.45,195.0,202.85,187.25,193.0,194.45,197.01,99000,195.04,72, 57000,57.58
YAAP,SM,27-04-2026,194.45,203.9,208.8,194.0,200.2,201.35,203.84,124000,252.77,96, 89000,71.77
YAAP,SM,28-04-2026,201.35,205.0,207.65,190.0,200.0,203.1,202.18,49000,99.07,42, 35000,71.43
YAAP,SM,29-04-2026,203.1,201.55,203.1,196.6,197.0,197.0,199.05,17000,33.84,15, 13000,76.47
YAAP,ST,30-04-2026,197.0,191.0,204.0,190.05,197.0,197.25,198.51,16000,31.76,15, 16000,100.0
YAAP,ST,04-05-2026,197.25,196.3,199.0,190.1,195.0,196.15,195.86,29000,56.8,14, 26000,89.66
YAAP,ST,06-05-2026,200.0,209.7,209.7,202.0,207.9,207.85,205.23,16000,32.84,12, 14000,87.5
YAAP,ST,05-05-2026,196.15,200.0,205.95,200.0,200.0,200.0,204.01,127000,259.09,22, 124000, 97.64
