SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ZFSTEERING,EQ,26-12-1996,67.95,74.0,74.0,72.5,-,72.5,73.5,300,"22,050.00",-,-,-
ZFSTEERING,EQ,20-12-1996,68.0,68.25,70.0,67.9,-,67.95,68.35,"1,300","88,855.00",-,-,-
ZFSTEERING,EQ,19-12-1996,64.5,68.0,68.0,68.0,-,68.0,68.0,50,"3,400.00",-,-,-
ZFSTEERING,EQ,26-11-1996,71.0,66.0,66.0,64.0,-,64.5,65.0,400,"26,000.00",-,-,-
ZFSTEERING,EQ,20-11-1996,71.0,71.0,71.0,71.0,-,71.0,71.0,200,"14,200.00",-,-,-
ZFSTEERING,EQ,18-11-1996,78.85,71.0,71.0,71.0,-,71.0,71.0,100,"7,100.00",-,-,-
ZFSTEERING,EQ,24-09-1996,80.0,78.0,80.0,78.0,-,78.85,78.74,800,"62,995.00",-,-,-
ZFSTEERING,EQ,23-09-1996,82.0,80.0,80.0,80.0,-,80.0,80.0,100,"8,000.00",-,-,-
ZFSTEERING,EQ,20-09-1996,90.0,82.0,82.0,82.0,-,82.0,82.0,100,"8,200.00",-,-,-
ZFSTEERING,EQ,24-12-1997,41.5,41.5,41.5,41.5,-,41.5,41.5,50,"2,075.00",-,-,-
ZFSTEERING,EQ,17-12-1997,41.5,42.0,42.0,41.5,-,41.5,41.75,200,"8,350.00",-,-,-
ZFSTEERING,EQ,16-12-1997,43.0,42.0,42.0,41.5,-,41.5,41.98,"2,100","88,150.00",-,-,-
ZFSTEERING,EQ,11-12-1997,45.0,43.25,43.25,43.0,-,43.0,43.13,200,"8,625.00",-,-,-
ZFSTEERING,EQ,09-12-1997,43.0,45.0,45.0,43.0,-,45.0,44.03,400,"17,612.50",-,-,-
ZFSTEERING,EQ,08-12-1997,41.0,41.0,43.0,41.0,-,43.0,41.76,450,"18,792.50",-,-,-
ZFSTEERING,EQ,05-12-1997,41.0,41.0,41.0,41.0,-,41.0,41.0,50,"2,050.00",-,-,-
ZFSTEERING,EQ,04-12-1997,43.0,41.0,41.0,41.0,-,41.0,41.0,200,"8,200.00",-,-,-
ZFSTEERING,EQ,27-11-1997,42.95,43.0,43.0,43.0,-,43.0,43.0,50,"2,150.00",-,-,-
ZFSTEERING,EQ,18-11-1997,42.75,42.9,43.0,42.9,-,42.95,42.95,100,"4,295.00",-,-,-
ZFSTEERING,EQ,17-11-1997,45.0,42.8,42.8,42.75,-,42.75,42.77,400,"17,107.50",-,-,-
ZFSTEERING,EQ,07-11-1997,44.0,43.0,45.0,43.0,-,45.0,44.0,200,"8,800.00",-,-,-
ZFSTEERING,EQ,06-11-1997,44.0,44.0,44.0,44.0,-,44.0,44.0,150,"6,600.00",-,-,-
ZFSTEERING,EQ,04-11-1997,42.1,44.0,44.0,44.0,-,44.0,44.0,200,"8,800.00",-,-,-
ZFSTEERING,EQ,30-10-1997,43.0,42.1,42.1,42.1,-,42.1,42.1,50,"2,105.00",-,-,-
ZFSTEERING,EQ,29-10-1997,45.0,43.0,43.0,43.0,-,43.0,43.0,50,"2,150.00",-,-,-
ZFSTEERING,EQ,28-10-1997,45.65,43.5,45.0,43.5,-,45.0,44.5,150,"6,675.00",-,-,-
ZFSTEERING,EQ,27-10-1997,48.0,46.0,46.0,45.65,-,45.65,45.81,450,"20,612.50",-,-,-
ZFSTEERING,EQ,22-10-1997,46.65,47.0,48.0,46.75,-,48.0,46.9,600,"28,137.50",-,-,-
ZFSTEERING,EQ,21-10-1997,49.0,46.65,46.65,46.65,-,46.65,46.65,50,"2,332.50",-,-,-
ZFSTEERING,EQ,16-10-1997,48.0,49.0,49.0,49.0,-,49.0,49.0,100,"4,900.00",-,-,-
ZFSTEERING,EQ,15-10-1997,46.5,48.0,48.0,48.0,-,48.0,48.0,100,"4,800.00",-,-,-
ZFSTEERING,EQ,14-10-1997,46.0,46.25,47.5,46.1,-,46.5,46.76,500,"23,380.00",-,-,-
ZFSTEERING,EQ,13-10-1997,47.3,46.0,46.0,46.0,-,46.0,46.0,150,"6,900.00",-,-,-
ZFSTEERING,EQ,09-10-1997,49.75,47.3,47.3,47.3,-,47.3,47.3,50,"2,365.00",-,-,-
ZFSTEERING,EQ,01-10-1997,52.25,49.75,49.75,49.75,-,49.75,49.75,50,"2,487.50",-,-,-
ZFSTEERING,EQ,24-09-1997,55.0,52.25,52.25,52.25,-,52.25,52.25,50,"2,612.50",-,-,-
ZFSTEERING,EQ,19-09-1997,55.0,55.0,55.0,55.0,-,55.0,55.0,200,"11,000.00",-,-,-
ZFSTEERING,EQ,18-09-1997,57.0,55.05,55.05,55.0,-,55.0,55.03,100,"5,502.50",-,-,-
ZFSTEERING,EQ,16-09-1997,55.0,56.5,57.0,56.5,-,57.0,56.67,150,"8,500.00",-,-,-
ZFSTEERING,EQ,15-09-1997,55.0,55.0,55.0,55.0,-,55.0,55.0,100,"5,500.00",-,-,-
ZFSTEERING,EQ,12-09-1997,54.5,55.0,55.0,55.0,-,55.0,55.0,50,"2,750.00",-,-,-
